order_id,order_date,customer_id,product_id,units_ordered,unit_price,discount_amount,net_sales,order_status,fulfillment_type,return_flag
ORD-00000219,2025-02-01,CUST-0000030,P00003,1,5.81,0.0,5.81,DELIVERED,EXPEDITED_SHIP,False
ORD-00000222,2025-02-01,CUST-0000491,P00004,1,7.51,0.0,7.51,CANCELLED,EXPEDITED_SHIP,False
ORD-00000224,2025-02-01,CUST-0000410,P00005,1,8.03,0.0,8.03,RETURNED,STANDARD_SHIP,True
ORD-00000225,2025-02-01,CUST-0000236,P00005,1,8.03,0.0,8.03,SHIPPED,STANDARD_SHIP,False
ORD-00000227,2025-02-01,CUST-0000244,P00011,1,7.76,0.0,7.76,DELIVERED,SUBSCRIBE_AND_SAVE,False
ORD-00000229,2025-02-02,CUST-0000024,P00002,1,5.05,0.0,5.05,SHIPPED,STANDARD_SHIP,False
ORD-00000230,2025-02-02,CUST-0000407,P00002,1,5.05,0.0,5.05,DELIVERED,STANDARD_SHIP,False
ORD-00000232,2025-02-02,CUST-0000094,P00003,2,5.81,0.76,10.86,DELIVERED,STANDARD_SHIP,False
ORD-00000234,2025-02-02,CUST-0000353,P00004,3,7.51,0.0,22.53,DELIVERED,STANDARD_SHIP,False
ORD-00000236,2025-02-02,CUST-0000227,P00005,1,8.03,1.12,6.91,DELIVERED,STANDARD_SHIP,False
ORD-00000237,2025-02-02,CUST-0000237,P00009,2,3.29,0.0,6.58,CANCELLED,STANDARD_SHIP,False
