retailer_id,store_id,retailer_product_id,transaction_date,units_sold,gross_sales,discount_amount,net_sales,regular_price,selling_price,sales_channel
RTL-WMT,S-WMT-0001,WMT-190652,2025-01-20,2,4.36,0.44,3.92,2.18,1.96,IN_STORE
RTL-WMT,S-WMT-0002,WMT-190652,2025-01-19,4,8.72,0.88,7.84,2.18,1.96,IN_STORE
RTL-WMT,S-WMT-0002,WMT-190652,2025-01-20,4,8.72,0.88,7.84,2.18,1.96,IN_STORE
RTL-WMT,S-WMT-0003,WMT-190652,2025-01-19,2,4.36,0.44,3.92,2.18,1.96,IN_STORE
RTL-WMT,S-WMT-0003,WMT-190652,2025-01-20,4,8.72,0.88,7.84,2.18,1.96,IN_STORE
RTL-WMT,S-WMT-0001,WMT-495731,2025-01-19,2,8.56,0.0,8.56,4.28,4.28,IN_STORE
RTL-WMT,S-WMT-0001,WMT-495731,2025-01-20,4,17.12,0.0,17.12,4.28,4.28,IN_STORE
RTL-WMT,S-WMT-0002,WMT-495731,2025-01-20,6,25.68,0.0,25.68,4.28,4.28,IN_STORE
RTL-WMT,S-WMT-0003,WMT-495731,2025-01-19,1,4.28,0.0,4.28,4.28,4.28,IN_STORE
RTL-WMT,S-WMT-0001,WMT-808690,2025-01-19,7,40.39,4.06,36.33,5.77,5.19,IN_STORE
RTL-WMT,S-WMT-0002,WMT-808690,2025-01-19,23,132.71,13.34,119.37,5.77,5.19,RETAILER_ONLINE
RTL-WMT,S-WMT-0001,WMT-569754,2025-01-20,6,35.4,7.08,28.32,5.9,4.72,IN_STORE
RTL-WMT,S-WMT-0002,WMT-569754,2025-01-19,13,76.7,15.34,61.36,5.9,4.72,IN_STORE
RTL-WMT,S-WMT-0002,WMT-569754,2025-01-20,6,35.4,7.08,28.32,5.9,4.72,RETAILER_ONLINE
RTL-WMT,S-WMT-0003,WMT-569754,2025-01-20,5,29.5,5.9,23.6,5.9,4.72,IN_STORE
RTL-WMT,S-WMT-0002,WMT-505726,2025-01-20,4,8.16,0.0,8.16,2.04,2.04,IN_STORE
RTL-WMT,S-WMT-0003,WMT-505726,2025-01-20,3,6.12,0.0,6.12,2.04,2.04,RETAILER_ONLINE
RTL-WMT,S-WMT-0001,WMT-636358,2025-01-19,14,19.18,4.76,14.42,1.37,1.03,IN_STORE
RTL-WMT,S-WMT-0002,WMT-636358,2025-01-20,14,19.18,4.76,14.42,1.37,1.03,IN_STORE
RTL-WMT,S-WMT-0003,WMT-636358,2025-01-02,7,9.59,0.0,9.59,1.37,1.37,IN_STORE
RTL-WMT,S-WMT-0003,WMT-636358,2025-01-20,16,21.92,5.44,16.48,1.37,1.03,RETAILER_ONLINE
RTL-WMT,S-WMT-0001,WMT-925729,2025-01-19,2,5.1,0.0,5.1,2.55,2.55,IN_STORE
RTL-WMT,S-WMT-0001,WMT-925729,2025-01-20,3,7.65,0.0,7.65,2.55,2.55,IN_STORE
RTL-WMT,S-WMT-0002,WMT-925729,2025-01-20,3,7.65,0.0,7.65,2.55,2.55,IN_STORE
RTL-WMT,S-WMT-0003,WMT-925729,2025-01-20,4,10.2,0.0,10.2,2.55,2.55,IN_STORE
