retailer_id,store_id,retailer_product_id,snapshot_date,on_hand_units,on_order_units,reserved_qty,available_units
RTL-WMT,S-WMT-0001,WMT-495731,2025-01-22,0,39.0,0,0
RTL-WMT,S-WMT-0001,WMT-808690,2025-01-22,0,51.0,0,0
RTL-WMT,S-WMT-0001,WMT-569754,2025-01-22,7,52.0,0,7
RTL-WMT,S-WMT-0003,WMT-569754,2025-01-22,8,39.0,0,8
RTL-WMT,S-WMT-0001,WMT-505726,2025-01-22,0,25.0,0,0
RTL-WMT,S-WMT-0002,WMT-505726,2025-01-22,0,30.0,0,0
RTL-WMT,S-WMT-0001,WMT-636358,2025-01-22,46,69.0,3,43
RTL-WMT,S-WMT-0003,WMT-636358,2025-01-22,63,91.0,3,60
RTL-WMT,S-WMT-0001,WMT-925729,2025-01-22,80,40.0,0,80
RTL-WMT,S-WMT-0003,WMT-925729,2025-01-22,73,34.0,3,70
RTL-WMT,S-WMT-0002,WMT-934754,2025-01-22,7,,1,6
RTL-WMT,S-WMT-0003,WMT-934754,2025-01-22,4,78.0,0,4
RTL-TGT,S-TGT-0004,TGT-458753,2025-01-22,10,18.0,1,9
RTL-TGT,S-TGT-0004,TGT-656076,2025-01-22,12,30.0,1,11
RTL-TGT,S-TGT-0004,TGT-292925,2025-01-22,26,47.0,1,25
RTL-TGT,S-TGT-0005,TGT-292925,2025-01-22,21,26.0,1,20
RTL-TGT,S-TGT-0004,TGT-833452,2025-01-22,7,18.0,0,7
RTL-TGT,S-TGT-0005,TGT-591638,2025-01-22,122,113.0,1,121
RTL-KRG,S-KRG-0007,KRG-576632,2025-01-22,4,21.0,0,4
RTL-KRG,S-KRG-0007,KRG-655748,2025-01-22,0,20.0,0,0
RTL-AMZ,S-AMZ-0008,AMZ-587168,2025-01-22,0,105.0,0,0
RTL-AMZ,S-AMZ-0008,AMZ-474194,2025-01-22,14,17.0,0,14
