order_id,order_date,customer_id,product_id,units_ordered,unit_price,discount_amount,net_sales,order_status,fulfillment_type,return_flag
ORD-00000020,2025-01-04,CUST-0000034,P00002,1,5.05,0.0,5.05,CANCELLED,SUBSCRIBE_AND_SAVE,False
ORD-00000021,2025-01-04,CUST-0000412,P00002,1,5.05,0.0,5.05,DELIVERED,SUBSCRIBE_AND_SAVE,False
ORD-00000022,2025-01-04,CUST-0000078,P00003,2,5.81,0.0,11.62,RETURNED,STANDARD_SHIP,True
ORD-00000023,2025-01-04,CUST-0000498,P00004,1,7.51,0.0,7.51,SHIPPED,STANDARD_SHIP,False
ORD-00000026,2025-01-04,CUST-0000399,P00005,1,8.03,0.0,8.03,RETURNED,STANDARD_SHIP,True
ORD-00000029,2025-01-04,CUST-0000106,P00009,1,3.29,0.0,3.29,DELIVERED,SUBSCRIBE_AND_SAVE,False
ORD-00000031,2025-01-05,CUST-0000328,P00004,1,7.51,0.0,7.51,DELIVERED,STANDARD_SHIP,False
ORD-00000034,2025-01-05,CUST-0000360,P00007,1,2.87,0.0,2.87,DELIVERED,EXPEDITED_SHIP,False
ORD-00000036,2025-01-05,CUST-0000190,P00011,1,7.76,0.0,7.76,DELIVERED,STANDARD_SHIP,False
ORD-00000037,2025-01-05,CUST-0000343,P00011,2,7.76,0.0,15.52,PROCESSING,STANDARD_SHIP,False
