retailer_id,store_id,retailer_product_id,snapshot_date,on_hand_units,on_order_units,reserved_qty,available_units
RTL-WMT,S-WMT-0001,WMT-190652,2025-01-01,0,17.0,0,0
RTL-WMT,S-WMT-0002,WMT-190652,2025-01-01,0,25.0,0,0
RTL-WMT,S-WMT-0002,WMT-495731,2025-01-01,3,67.0,0,3
RTL-WMT,S-WMT-0001,WMT-569754,2025-01-01,1,40.0,0,1
RTL-WMT,S-WMT-0002,WMT-569754,2025-01-01,2,69.0,0,2
RTL-WMT,S-WMT-0001,WMT-505726,2025-01-01,1,25.0,0,1
RTL-WMT,S-WMT-0003,WMT-636358,2025-01-01,22,290.0,0,22
RTL-WMT,S-WMT-0001,WMT-925729,2025-01-01,36,49.0,1,35
RTL-WMT,S-WMT-0002,WMT-925729,2025-01-01,57,60.0,3,54
RTL-WMT,S-WMT-0003,WMT-925729,2025-01-01,33,41.0,2,31
RTL-WMT,S-WMT-0003,WMT-934754,2025-01-01,3,65.0,0,3
RTL-TGT,S-TGT-0005,TGT-458753,2025-01-01,0,23.0,0,0
RTL-TGT,S-TGT-0004,TGT-648173,2025-01-01,0,44.0,0,0
RTL-TGT,S-TGT-0005,TGT-648173,2025-01-01,0,39.0,0,0
RTL-TGT,S-TGT-0004,TGT-292925,2025-01-01,6,63.0,0,6
RTL-TGT,S-TGT-0004,TGT-833452,2025-01-01,3,19.0,0,3
RTL-TGT,S-TGT-0005,TGT-833452,2025-01-01,2,21.0,0,2
RTL-TGT,S-TGT-0004,TGT-591638,2025-01-01,10,92.0,0,10
RTL-KRG,S-KRG-0006,KRG-302343,2025-01-01,1,35.0,0,1
RTL-KRG,S-KRG-0006,KRG-655748,2025-01-01,0,17.0,0,0
RTL-KRG,S-KRG-0007,KRG-167383,2025-01-01,1,11.0,0,1
RTL-AMZ,S-AMZ-0008,AMZ-842746,2025-01-01,17,58.0,0,17
RTL-AMZ,S-AMZ-0008,AMZ-973034,2025-01-01,6,141.0,0,6
RTL-AMZ,S-AMZ-0008,AMZ-474194,2025-01-01,5,34.0,0,5
RTL-AMZ,S-AMZ-0008,AMZ-291008,2025-01-01,0,105.0,0,0
