shipment_id,retailer_id,distribution_center_id,product_id,shipment_date,units_shipped,shipment_status,estimated_delivery_date,actual_delivery_date
SHP-0000007,RTL-WMT,DC-MW-01,P00001,2025-02-11,30,DELIVERED,2025-02-16,2025-02-16
SHP-0000025,RTL-WMT,DC-MW-01,P00004,2025-02-10,222,DELIVERED,2025-02-16,2025-02-16
SHP-0000062,RTL-WMT,DC-MW-01,P00009,2025-02-11,214,DELIVERED,2025-02-18,2025-02-20
SHP-0000094,RTL-TGT,DC-MW-01,P00002,2025-02-11,136,DELIVERED,2025-02-15,2025-02-17
SHP-0000121,RTL-TGT,DC-MW-01,P00006,2025-02-11,16,DELIVERED,2025-02-15,2025-02-17
SHP-0000130,RTL-TGT,DC-MW-01,P00008,2025-02-10,281,DELIVERED,2025-02-13,2025-02-15
SHP-0000135,RTL-TGT,DC-MW-01,P00012,2025-02-11,341,DELIVERED,2025-02-16,2025-02-16
SHP-0000162,RTL-KRG,DC-SE-01,P00009,2025-02-11,41,DELIVERED,2025-02-17,2025-02-18
SHP-0000171,RTL-KRG,DC-SE-01,P00011,2025-02-10,39,DELIVERED,2025-02-16,2025-02-18
SHP-0000265,RTL-AMZ,DC-SE-01,P00011,2025-02-04,63,DELIVERED,2025-02-10,
