shipment_id,retailer_id,distribution_center_id,product_id,shipment_date,units_shipped,shipment_status,estimated_delivery_date,actual_delivery_date
SHP-0000008,RTL-WMT,DC-MW-01,P00001,2025-02-18,28,DELIVERED,2025-02-24,2025-02-25
SHP-0000017,RTL-WMT,DC-MW-01,P00003,2025-02-17,166,DELIVERED,2025-02-23,2025-02-22
SHP-0000035,RTL-WMT,DC-MW-01,P00005,2025-02-17,140,DELIVERED,2025-02-23,2025-02-22
SHP-0000044,RTL-WMT,DC-MW-01,P00007,2025-02-17,81,DELIVERED,2025-02-24,2025-02-24
SHP-0000054,RTL-WMT,DC-MW-01,P00008,2025-02-18,367,DELIVERED,2025-02-22,2025-02-23
SHP-0000063,RTL-WMT,DC-MW-01,P00009,2025-02-17,204,DELIVERED,2025-02-22,2025-02-21
SHP-0000131,RTL-TGT,DC-MW-01,P00008,2025-02-17,86,DELIVERED,2025-02-21,2025-02-22
SHP-0000145,RTL-KRG,DC-SE-01,P00004,2025-02-18,37,DELIVERED,2025-02-22,2025-02-21
SHP-0000172,RTL-KRG,DC-SE-01,P00011,2025-02-17,27,DELIVERED,2025-02-21,2025-02-23
SHP-0000186,RTL-AMZ,DC-SE-01,P00001,2025-02-18,54,IN_TRANSIT,2025-02-21,
SHP-0000195,RTL-AMZ,DC-SE-01,P00002,2025-02-18,82,DELIVERED,2025-02-23,2025-02-24
SHP-0000213,RTL-AMZ,DC-SE-01,P00004,2025-02-17,64,IN_TRANSIT,2025-02-20,
SHP-0000222,RTL-AMZ,DC-SE-01,P00005,2025-02-17,60,DELIVERED,2025-02-22,2025-02-22
SHP-0000249,RTL-AMZ,DC-SE-01,P00008,2025-02-18,115,DELIVERED,2025-02-22,2025-02-24
