retailer_id,store_id,retailer_product_id,transaction_date,units_sold,gross_sales,discount_amount,net_sales,regular_price,selling_price,sales_channel
RTL-WMT,S-WMT-0001,WMT-190652,2025-01-09,4,8.72,0.88,7.84,2.18,1.96,IN_STORE
RTL-WMT,S-WMT-0001,WMT-190652,2025-01-10,1,2.18,0.22,1.96,2.18,1.96,IN_STORE
RTL-WMT,S-WMT-0002,WMT-190652,2025-01-09,4,8.72,0.88,7.84,2.18,1.96,IN_STORE
RTL-WMT,S-WMT-0002,WMT-190652,2025-01-10,4,8.72,0.88,7.84,2.18,1.96,RETAILER_ONLINE
RTL-WMT,S-WMT-0003,WMT-190652,2025-01-09,4,8.72,0.88,7.84,2.18,1.96,RETAILER_ONLINE
RTL-WMT,S-WMT-0001,UNKNOWN-102244,2025-01-10,8,34.24,6.88,27.36,4.28,3.42,IN_STORE
RTL-WMT,S-WMT-0002,WMT-495731,2025-01-10,9,38.52,7.74,30.78,4.28,3.42,IN_STORE
RTL-WMT,S-WMT-0003,WMT-495731,2025-01-09,8,34.24,6.88,27.36,4.28,3.42,IN_STORE
RTL-WMT,S-WMT-0003,WMT-495731,2025-01-10,10,42.8,8.6,34.2,4.28,3.42,IN_STORE
RTL-WMT,S-WMT-0002,WMT-808690,2025-01-09,8,46.16,6.96,39.2,5.77,4.9,IN_STORE
RTL-WMT,S-WMT-0003,WMT-808690,2025-01-09,8,46.16,6.96,39.2,5.77,4.9,RETAILER_ONLINE
RTL-WMT,S-WMT-0003,WMT-808690,2025-01-10,7,40.39,6.09,34.3,5.77,4.9,IN_STORE
RTL-WMT,S-WMT-0001,WMT-569754,2025-01-10,8,47.2,9.44,37.76,5.9,4.72,IN_STORE
RTL-WMT,S-WMT-0002,WMT-569754,2025-01-09,7,41.3,8.26,33.04,5.9,4.72,IN_STORE
RTL-WMT,S-WMT-0002,WMT-569754,2025-01-10,11,64.9,12.98,51.92,5.9,4.72,IN_STORE
RTL-WMT,S-WMT-0003,WMT-569754,2025-01-09,6,35.4,7.08,28.32,5.9,4.72,IN_STORE
RTL-WMT,S-WMT-0001,WMT-505726,2025-01-09,2,4.08,0.0,4.08,2.04,2.04,IN_STORE
RTL-WMT,S-WMT-0002,WMT-505726,2025-01-09,5,10.2,0.0,10.2,2.04,2.04,IN_STORE
RTL-WMT,S-WMT-0002,WMT-505726,2025-01-10,8,16.32,3.28,13.04,2.04,1.63,IN_STORE
RTL-WMT,S-WMT-0003,WMT-505726,2025-01-09,6,12.24,0.0,12.24,2.04,2.04,IN_STORE
RTL-WMT,S-WMT-0003,WMT-505726,2025-01-10,12,24.48,4.92,19.56,2.04,1.63,RETAILER_ONLINE
RTL-WMT,S-WMT-0001,WMT-636358,2025-01-09,33,45.21,11.22,33.99,1.37,1.03,RETAILER_ONLINE
RTL-WMT,S-WMT-0001,WMT-636358,2025-01-10,42,57.54,14.28,43.26,1.37,1.03,IN_STORE
RTL-WMT,S-WMT-0002,WMT-636358,2025-01-09,60,82.2,20.4,61.8,1.37,1.03,IN_STORE
RTL-WMT,S-WMT-0003,WMT-636358,2025-01-09,50,68.5,17.0,51.5,1.37,1.03,IN_STORE
RTL-WMT,S-WMT-0002,WMT-925729,2025-01-09,2,5.1,0.0,5.1,2.55,2.55,IN_STORE
RTL-WMT,S-WMT-0002,WMT-925729,2025-01-10,4,10.2,0.0,10.2,2.55,2.55,IN_STORE
RTL-WMT,S-WMT-0003,WMT-925729,2025-01-10,3,7.65,0.0,7.65,2.55,2.55,IN_STORE
RTL-WMT,S-WMT-0001,WMT-934754,2025-01-09,4,22.32,2.24,20.08,5.58,5.02,IN_STORE
RTL-WMT,S-WMT-0001,WMT-934754,2025-01-10,4,22.32,2.24,20.08,5.58,5.02,IN_STORE
RTL-WMT,S-WMT-0002,WMT-934754,2025-01-10,15,83.7,8.4,75.3,5.58,5.02,IN_STORE
RTL-WMT,S-WMT-0003,WMT-934754,2025-01-09,14,78.12,7.84,70.28,5.58,5.02,IN_STORE
RTL-WMT,S-WMT-0003,WMT-934754,2025-01-10,4,22.32,2.24,20.08,5.58,5.02,IN_STORE
RTL-TGT,S-TGT-0004,TGT-458753,2025-01-09,1,2.25,0.23,2.02,2.25,2.02,IN_STORE
RTL-TGT,S-TGT-0004,TGT-458753,2025-01-10,3,6.75,0.69,6.06,2.25,2.02,RETAILER_ONLINE
RTL-TGT,S-TGT-0004,TGT-648173,2025-01-09,4,16.28,2.44,13.84,4.07,3.46,RETAILER_ONLINE
RTL-TGT,S-TGT-0004,TGT-648173,2025-01-10,10,40.7,6.1,34.6,4.07,3.46,IN_STORE
RTL-TGT,S-TGT-0005,TGT-648173,2025-01-09,4,16.28,2.44,13.84,4.07,3.46,IN_STORE
RTL-TGT,S-TGT-0004,TGT-292925,2025-01-09,11,66.0,9.9,56.1,6.0,5.1,RETAILER_ONLINE
RTL-TGT,S-TGT-0004,TGT-833452,2025-01-09,2,11.4,1.72,9.68,5.7,4.84,IN_STORE
RTL-TGT,S-TGT-0004,TGT-591638,2025-01-09,23,31.97,8.05,23.92,1.39,1.04,IN_STORE
RTL-TGT,S-TGT-0004,TGT-591638,2025-01-10,14,19.46,4.9,14.56,1.39,1.04,IN_STORE
RTL-TGT,S-TGT-0005,TGT-591638,2025-01-10,8,11.12,2.8,8.32,1.39,1.04,IN_STORE
RTL-KRG,S-KRG-0006,KRG-576632,2025-01-09,5,31.8,6.35,25.45,6.36,5.09,IN_STORE
RTL-KRG,S-KRG-0007,KRG-576632,2025-01-09,4,25.44,5.08,20.36,6.36,5.09,IN_STORE
RTL-KRG,S-KRG-0006,KRG-302343,2025-01-10,6,42.12,8.4,33.72,7.02,5.62,IN_STORE
RTL-KRG,S-KRG-0007,KRG-302343,2025-01-09,4,28.08,5.6,22.48,7.02,5.62,RETAILER_ONLINE
RTL-KRG,S-KRG-0006,KRG-655748,2025-01-10,2,5.42,0.54,4.88,2.71,2.44,IN_STORE
RTL-KRG,S-KRG-0007,KRG-655748,2025-01-09,2,5.42,0.54,4.88,2.71,2.44,IN_STORE
RTL-KRG,S-KRG-0006,KRG-167383,2025-01-10,3,20.7,0.0,20.7,6.9,6.9,RETAILER_ONLINE
RTL-KRG,S-KRG-0007,KRG-167383,2025-01-09,2,13.8,0.0,13.8,6.9,6.9,IN_STORE
RTL-KRG,S-KRG-0007,KRG-167383,2025-01-10,3,20.7,0.0,20.7,6.9,6.9,IN_STORE
RTL-AMZ,S-AMZ-0008,AMZ-687247,2025-01-09,2,5.04,1.0,4.04,2.52,2.02,MARKETPLACE
RTL-AMZ,S-AMZ-0008,AMZ-587168,2025-01-09,7,29.26,0.0,29.26,4.18,4.18,MARKETPLACE
RTL-AMZ,S-AMZ-0008,AMZ-587168,2025-01-10,8,33.44,0.0,33.44,4.18,4.18,MARKETPLACE
RTL-AMZ,S-AMZ-0008,AMZ-842746,2025-01-09,8,37.6,0.0,37.6,4.7,4.7,MARKETPLACE
RTL-AMZ,S-AMZ-0008,AMZ-973034,2025-01-09,21,132.72,26.46,106.26,6.32,5.06,MARKETPLACE
RTL-AMZ,S-AMZ-0008,AMZ-850327,2025-01-09,18,115.02,34.56,80.46,6.39,4.47,MARKETPLACE
RTL-AMZ,S-AMZ-0008,AMZ-906944,2025-01-09,11,24.86,4.95,19.91,2.26,1.81,MARKETPLACE
RTL-TGT,S-TGT-0004,TGT-648173,2025-01-09,4,16.28,2.44,13.84,4.07,3.46,RETAILER_ONLINE
RTL-KRG,S-KRG-0007,KRG-302343,2025-01-09,4,28.08,5.6,22.48,7.02,5.62,RETAILER_ONLINE
