order_id,order_date,customer_id,product_id,units_ordered,unit_price,discount_amount,net_sales,order_status,fulfillment_type,return_flag
ORD-00000052,2025-01-10,CUST-0000146,P00004,2,7.51,0.0,15.02,PROCESSING,EXPEDITED_SHIP,False
ORD-00000053,2025-01-10,CUST-0000193,P00005,1,8.03,0.0,8.03,CANCELLED,STANDARD_SHIP,False
ORD-00000055,2025-01-10,CUST-0000439,P00006,2,7.47,0.0,14.94,DELIVERED,STANDARD_SHIP,False
ORD-00000056,2025-01-10,CUST-0000465,P00007,1,2.87,0.0,2.87,DELIVERED,STANDARD_SHIP,False
ORD-00000058,2025-01-11,CUST-0000209,P00002,1,5.05,0.0,5.05,DELIVERED,SUBSCRIBE_AND_SAVE,False
ORD-00000060,2025-01-11,CUST-0000268,P00002,1,5.05,0.0,5.05,DELIVERED,STANDARD_SHIP,False
ORD-00000061,2025-01-11,CUST-0000358,P00003,1,5.81,0.0,5.81,SHIPPED,EXPEDITED_SHIP,False
ORD-00000062,2025-01-11,CUST-0000156,P00004,1,7.51,0.0,7.51,DELIVERED,EXPEDITED_SHIP,False
ORD-00000066,2025-01-11,CUST-0000303,P00007,2,2.87,0.0,5.74,DELIVERED,STANDARD_SHIP,False
ORD-00000068,2025-01-11,CUST-0000113,P00009,1,3.29,0.0,3.29,RETURNED,SUBSCRIBE_AND_SAVE,True
ORD-00000069,2025-01-11,CUST-0000315,P00009,2,3.29,0.0,6.58,RETURNED,STANDARD_SHIP,True
