retailer_id,store_id,retailer_product_id,snapshot_date,on_hand_units,on_order_units,reserved_qty,available_units
RTL-WMT,S-WMT-0001,WMT-190652,2025-02-19,3,1.0,0,3
RTL-WMT,S-WMT-0002,WMT-495731,2025-02-19,11,20.0,1,10
RTL-WMT,S-WMT-0002,WMT-808690,2025-02-19,0,15.0,0,0
RTL-WMT,S-WMT-0003,WMT-808690,2025-02-19,0,19.0,0,0
RTL-WMT,S-WMT-0002,WMT-569754,2025-02-19,21,23.0,1,20
RTL-WMT,S-WMT-0003,WMT-569754,2025-02-19,12,19.0,0,12
RTL-WMT,S-WMT-0003,WMT-505726,2025-02-19,27,10.0,2,25
RTL-WMT,S-WMT-0002,WMT-636358,2025-02-19,81,44.0,1,80
RTL-WMT,S-WMT-0002,WMT-925729,2025-02-19,234,17.0,6,228
RTL-WMT,S-WMT-0003,WMT-925729,2025-02-19,143,11.0,11,132
RTL-WMT,S-WMT-0001,WMT-934754,2025-02-19,1,16.0,0,1
RTL-WMT,S-WMT-0003,WMT-934754,2025-02-19,0,22.0,0,0
RTL-TGT,S-TGT-0004,TGT-458753,2025-02-19,10,6.0,0,10
RTL-TGT,S-TGT-0004,TGT-292925,2025-02-19,46,8.0,3,43
RTL-TGT,S-TGT-0005,TGT-292925,2025-02-19,34,11.0,2,32
RTL-TGT,S-TGT-0004,TGT-833452,2025-02-19,9,1.0,1,8
RTL-TGT,S-TGT-0005,TGT-833452,2025-02-19,9,0.0,0,9
RTL-TGT,S-TGT-0004,TGT-591638,2025-02-19,327,25.0,4,323
RTL-KRG,S-KRG-0006,KRG-576632,2025-02-19,62,6.0,4,58
RTL-KRG,S-KRG-0006,KRG-655748,2025-02-19,3,2.0,0,3
RTL-KRG,S-KRG-0007,KRG-655748,2025-02-19,2,2.0,0,2
RTL-KRG,S-KRG-0006,KRG-167383,2025-02-19,0,5.0,0,0
RTL-AMZ,S-AMZ-0008,AMZ-687247,2025-02-19,34,17.0,1,33
RTL-AMZ,S-AMZ-0008,AMZ-973034,2025-02-19,0,32.0,0,0
RTL-AMZ,S-AMZ-0008,AMZ-850327,2025-02-19,79,19.0,6,73
RTL-AMZ,S-AMZ-0008,AMZ-474194,2025-02-19,13,2.0,0,13
RTL-AMZ,S-AMZ-0008,AMZ-906944,2025-02-19,66,19.0,2,64
RTL-AMZ,S-AMZ-0008,AMZ-291008,2025-02-19,26,40.0,1,25
RTL-AMZ,S-AMZ-0008,AMZ-168136,2025-02-19,71,14.0,1,70
RTL-AMZ,S-AMZ-0008,AMZ-225608,2025-02-19,5,13.0,0,5
RTL-TGT,S-TGT-0004,TGT-458753,2025-02-19,10,6.0,0,10
