retailer_id,store_id,retailer_product_id,snapshot_date,on_hand_units,on_order_units,reserved_qty,available_units
RTL-WMT,S-WMT-0001,WMT-495731,2025-02-05,0,27.0,0,0
RTL-WMT,S-WMT-0002,WMT-495731,2025-02-05,1,65.0,0,1
RTL-WMT,S-WMT-0003,WMT-495731,2025-02-05,1,40.0,0,1
RTL-WMT,S-WMT-0001,WMT-808690,2025-02-05,2,47.0,0,2
RTL-WMT,S-WMT-0002,WMT-808690,2025-02-05,0,92.0,0,0
RTL-WMT,S-WMT-0003,WMT-808690,2025-02-05,0,83.0,0,0
RTL-WMT,S-WMT-0003,WMT-569754,2025-02-05,15,35.0,1,14
RTL-WMT,S-WMT-0001,WMT-505726,2025-02-05,8,43.0,0,8
RTL-WMT,S-WMT-0001,WMT-636358,2025-02-05,29,83.0,2,27
RTL-WMT,S-WMT-0002,WMT-636358,2025-02-05,44,144.0,2,42
RTL-WMT,S-WMT-0003,WMT-636358,2025-02-05,41,135.0,1,40
RTL-WMT,S-WMT-0001,WMT-925729,2025-02-05,120,61.0,6,114
RTL-WMT,S-WMT-0002,WMT-925729,2025-02-05,187,97.0,10,177
RTL-WMT,S-WMT-0001,WMT-934754,2025-02-05,5,35.0,0,5
RTL-WMT,S-WMT-0002,WMT-934754,2025-02-05,10,96.0,0,10
RTL-WMT,S-WMT-0003,WMT-934754,2025-02-05,6,54.0,0,6
RTL-TGT,S-TGT-0005,TGT-458753,2025-02-05,8,13.0,1,7
RTL-TGT,S-TGT-0005,TGT-648173,2025-02-05,36,67.0,2,34
RTL-TGT,S-TGT-0004,TGT-656076,2025-02-05,14,50.0,1,13
RTL-TGT,S-TGT-0005,TGT-656076,2025-02-05,12,52.0,1,11
RTL-TGT,S-TGT-0004,TGT-292925,2025-02-05,45,48.0,1,44
RTL-TGT,S-TGT-0005,TGT-833452,2025-02-05,6,11.0,0,6
RTL-TGT,S-TGT-0004,TGT-591638,2025-02-05,270,167.0,5,265
RTL-KRG,S-KRG-0006,KRG-576632,2025-02-05,31,69.0,1,30
RTL-KRG,S-KRG-0007,KRG-576632,2025-02-05,31,51.0,2,29
RTL-KRG,S-KRG-0006,KRG-302343,2025-02-05,5,20.0,0,5
RTL-KRG,S-KRG-0007,KRG-302343,2025-02-05,4,20.0,0,4
RTL-KRG,S-KRG-0006,KRG-655748,2025-02-05,0,27.0,0,0
RTL-KRG,S-KRG-0007,KRG-655748,2025-02-05,0,14.0,0,0
RTL-AMZ,S-AMZ-0008,AMZ-587168,2025-02-05,42,108.0,0,42
RTL-AMZ,S-AMZ-0008,AMZ-842746,2025-02-05,36,97.0,3,33
RTL-AMZ,S-AMZ-0008,AMZ-906944,2025-02-05,55,93.0,3,52
