order_id,order_date,customer_id,product_id,units_ordered,unit_price,discount_amount,net_sales,order_status,fulfillment_type,return_flag
ORD-00000008,2025-01-03,CUST-0000242,P00002,2,5.05,0.0,10.1,DELIVERED,STANDARD_SHIP,False
ORD-00000010,2025-01-03,CUST-0000266,P00002,1,5.05,0.51,4.54,DELIVERED,STANDARD_SHIP,False
ORD-00000011,2025-01-03,CUST-0000380,P00003,1,5.81,0.0,5.81,DELIVERED,STANDARD_SHIP,False
ORD-00000012,2025-01-03,CUST-0000459,P00003,1,5.81,0.0,5.81,DELIVERED,STANDARD_SHIP,False
ORD-00000013,2025-01-03,CUST-0000139,P00006,3,7.47,0.0,22.41,DELIVERED,STANDARD_SHIP,False
ORD-00000014,2025-01-03,CUST-0000457,P00008,2,1.86,0.0,3.72,SHIPPED,SUBSCRIBE_AND_SAVE,False
ORD-00000016,2025-01-03,CUST-0000247,P00009,2,3.29,0.0,6.58,DELIVERED,STANDARD_SHIP,False
ORD-00000017,2025-01-03,CUST-0000474,P00011,1,7.76,0.0,7.76,DELIVERED,STANDARD_SHIP,False
ORD-00000018,2025-01-04,CUST-0000480,P00001,2,3.01,0.0,6.02,SHIPPED,STANDARD_SHIP,False
ORD-00000019,2025-01-04,CUST-0000083,P00002,1,5.05,0.0,5.05,RETURNED,SUBSCRIBE_AND_SAVE,True
ORD-00000024,2025-01-04,CUST-0000367,P00004,1,7.51,0.0,7.51,SHIPPED,STANDARD_SHIP,False
ORD-00000025,2025-01-04,CUST-0000490,P00004,1,7.51,0.41,7.1,DELIVERED,STANDARD_SHIP,False
ORD-00000027,2025-01-04,CUST-0000500,P00005,1,8.03,0.0,8.03,DELIVERED,STANDARD_SHIP,False
ORD-00000028,2025-01-04,CUST-0000055,P00007,1,2.87,0.0,2.87,DELIVERED,STANDARD_SHIP,False
