retailer_id,store_id,retailer_product_id,snapshot_date,on_hand_units,on_order_units,reserved_qty,available_units
RTL-WMT,S-WMT-0001,WMT-190652,2025-02-12,1,4.0,0,1
RTL-WMT,S-WMT-0002,WMT-190652,2025-02-12,0,14.0,0,0
RTL-WMT,S-WMT-0003,WMT-190652,2025-02-12,4,9.0,0,4
RTL-WMT,S-WMT-0001,WMT-495731,2025-02-12,0,51.0,0,0
RTL-WMT,S-WMT-0003,WMT-495731,2025-02-12,0,52.0,0,0
RTL-WMT,S-WMT-0001,WMT-808690,2025-02-12,0,26.0,0,0
RTL-WMT,S-WMT-0002,WMT-569754,2025-02-12,23,53.0,1,22
RTL-WMT,S-WMT-0003,WMT-569754,2025-02-12,14,44.0,1,13
RTL-WMT,S-WMT-0001,WMT-636358,2025-02-12,43,85.0,1,42
RTL-WMT,S-WMT-0003,WMT-636358,2025-02-12,64,141.0,2,62
RTL-WMT,S-WMT-0001,WMT-925729,2025-02-12,142,68.0,11,131
RTL-WMT,S-WMT-0003,WMT-925729,2025-02-12,133,60.0,1,132
RTL-WMT,S-WMT-0001,WMT-934754,2025-02-12,4,37.0,0,4
RTL-WMT,S-WMT-0003,WMT-934754,2025-02-12,4,56.0,0,4
RTL-TGT,S-TGT-0004,TGT-458753,2025-02-12,9,13.0,0,9
RTL-TGT,S-TGT-0004,TGT-648173,2025-02-12,23,60.0,0,23
RTL-TGT,S-TGT-0005,TGT-648173,2025-02-12,26,49.0,2,24
RTL-TGT,S-TGT-0004,TGT-656076,2025-02-12,16,35.0,0,16
RTL-TGT,S-TGT-0005,TGT-656076,2025-02-12,14,36.0,0,14
RTL-TGT,S-TGT-0005,TGT-292925,2025-02-12,33,25.0,2,31
RTL-TGT,S-TGT-0004,TGT-833452,2025-02-12,8,7.0,0,8
RTL-TGT,S-TGT-0004,TGT-591638,2025-02-12,321,55.0,22,299
RTL-KRG,S-KRG-0007,KRG-576632,2025-02-12,54,15.0,3,51
RTL-KRG,S-KRG-0006,KRG-302343,2025-02-12,6,17.0,0,6
RTL-KRG,S-KRG-0006,KRG-655748,2025-02-12,2,21.0,0,2
RTL-KRG,S-KRG-0006,KRG-167383,2025-02-12,2,16.0,0,2
RTL-KRG,S-KRG-0007,KRG-167383,2025-02-12,1,12.0,0,1
RTL-AMZ,S-AMZ-0008,AMZ-687247,2025-02-12,35,54.0,0,35
RTL-AMZ,S-AMZ-0008,AMZ-587168,2025-02-12,59,82.0,4,55
RTL-AMZ,S-AMZ-0008,AMZ-842746,2025-02-12,42,83.0,3,39
RTL-AMZ,S-AMZ-0008,AMZ-850327,2025-02-12,76,60.0,0,76
RTL-AMZ,S-AMZ-0008,AMZ-474194,2025-02-12,12,22.0,0,12
RTL-AMZ,S-AMZ-0008,AMZ-906944,2025-02-12,59,54.0,2,57
RTL-AMZ,S-AMZ-0008,AMZ-168136,2025-02-12,71,50.0,5,66
