retailer_id,store_id,retailer_product_id,snapshot_date,on_hand_units,on_order_units,reserved_qty,available_units
RTL-WMT,S-WMT-0002,WMT-190652,2025-02-19,2,2.0,0,2
RTL-WMT,S-WMT-0003,WMT-190652,2025-02-19,5,3.0,0,5
RTL-WMT,S-WMT-0001,WMT-495731,2025-02-19,9,18.0,0,9
RTL-WMT,S-WMT-0003,WMT-495731,2025-02-19,9,13.0,0,9
RTL-WMT,S-WMT-0001,WMT-808690,2025-02-19,0,4.0,0,0
RTL-WMT,S-WMT-0001,WMT-569754,2025-02-19,13,13.0,0,13
RTL-WMT,S-WMT-0001,WMT-505726,2025-02-19,16,6.0,0,16
RTL-WMT,S-WMT-0002,WMT-505726,2025-02-19,40,16.0,1,39
RTL-WMT,S-WMT-0001,WMT-636358,2025-02-19,51,35.0,4,47
RTL-WMT,S-WMT-0003,WMT-636358,2025-02-19,77,58.0,5,72
RTL-WMT,S-WMT-0001,WMT-925729,2025-02-19,153,7.0,10,143
RTL-WMT,S-WMT-0002,WMT-934754,2025-02-19,0,31.0,0,0
RTL-TGT,S-TGT-0005,TGT-458753,2025-02-19,8,4.0,1,7
RTL-TGT,S-TGT-0004,TGT-648173,2025-02-19,25,14.0,1,24
RTL-TGT,S-TGT-0005,TGT-648173,2025-02-19,27,17.0,2,25
RTL-TGT,S-TGT-0004,TGT-656076,2025-02-19,15,8.0,0,15
RTL-TGT,S-TGT-0005,TGT-656076,2025-02-19,12,12.0,0,12
RTL-TGT,S-TGT-0005,TGT-591638,2025-02-19,222,14.0,14,208
RTL-KRG,S-KRG-0007,KRG-576632,2025-02-19,55,6.0,1,54
RTL-KRG,S-KRG-0006,KRG-302343,2025-02-19,6,3.0,0,6
RTL-KRG,S-KRG-0007,KRG-302343,2025-02-19,5,5.0,0,5
RTL-KRG,S-KRG-0007,KRG-167383,2025-02-19,0,8.0,0,0
RTL-AMZ,S-AMZ-0008,AMZ-587168,2025-02-19,40,41.0,3,37
RTL-AMZ,S-AMZ-0008,AMZ-842746,2025-02-19,54,20.0,4,50
