order_id,order_date,customer_id,product_id,units_ordered,unit_price,discount_amount,net_sales,order_status,fulfillment_type,return_flag
ORD-00000238,2025-02-03,CUST-0000104,P00002,2,5.05,0.0,10.1,SHIPPED,STANDARD_SHIP,False
ORD-00000239,2025-02-03,CUST-0000217,P00002,1,5.05,0.0,5.05,DELIVERED,STANDARD_SHIP,False
ORD-00000240,2025-02-03,CUST-0000291,P00002,1,5.05,0.0,5.05,DELIVERED,STANDARD_SHIP,False
ORD-00000245,2025-02-04,CUST-0000412,P00002,1,5.05,0.0,5.05,DELIVERED,STANDARD_SHIP,False
ORD-00000246,2025-02-04,CUST-0000318,P00002,1,5.05,0.0,5.05,PROCESSING,STANDARD_SHIP,False
ORD-00000247,2025-02-04,CUST-0000337,P00002,1,5.05,0.0,5.05,DELIVERED,STANDARD_SHIP,False
ORD-00000249,2025-02-04,CUST-0000425,P00004,2,7.51,0.0,15.02,DELIVERED,EXPEDITED_SHIP,False
ORD-00000250,2025-02-04,CUST-0000477,P00005,1,8.03,0.0,8.03,DELIVERED,STANDARD_SHIP,False
ORD-00000252,2025-02-04,CUST-0000446,P00007,1,2.87,0.0,2.87,DELIVERED,STANDARD_SHIP,False
ORD-00000253,2025-02-04,CUST-0000444,P00008,1,1.86,0.0,1.86,RETURNED,STANDARD_SHIP,True
ORD-00000254,2025-02-04,CUST-0000083,P00011,1,7.76,0.0,7.76,DELIVERED,,False
