retailer_id,store_id,retailer_product_id,transaction_date,units_sold,gross_sales,discount_amount,net_sales,regular_price,selling_price,sales_channel
RTL-WMT,S-WMT-0001,WMT-190652,2025-02-08,1,2.18,0.0,2.18,2.18,2.18,IN_STORE
RTL-WMT,S-WMT-0001,WMT-190652,2025-02-09,1,2.18,0.0,2.18,2.18,2.18,IN_STORE
RTL-WMT,S-WMT-0002,WMT-190652,2025-02-08,2,4.36,0.0,4.36,2.18,2.18,IN_STORE
RTL-WMT,S-WMT-0003,WMT-190652,2025-02-08,2,4.36,0.0,4.36,2.18,2.18,IN_STORE
RTL-WMT,S-WMT-0003,WMT-190652,2025-02-09,2,4.36,0.0,4.36,2.18,2.18,IN_STORE
RTL-WMT,S-WMT-0002,WMT-495731,2025-02-08,12,51.36,7.68,43.68,4.28,3.64,IN_STORE
RTL-WMT,S-WMT-0002,WMT-495731,2025-02-09,9,38.52,5.76,32.76,4.28,3.64,RETAILER_ONLINE
RTL-WMT,S-WMT-0003,WMT-495731,2025-02-09,6,25.68,3.84,21.84,4.28,3.64,RETAILER_ONLINE
RTL-WMT,S-WMT-0001,WMT-808690,2025-02-08,7,40.39,4.06,36.33,5.77,5.19,IN_STORE
RTL-WMT,S-WMT-0001,WMT-808690,2025-02-09,3,17.31,1.74,15.57,5.77,5.19,RETAILER_ONLINE
RTL-WMT,S-WMT-0002,WMT-808690,2025-02-08,14,80.78,8.12,72.66,5.77,5.19,IN_STORE
RTL-WMT,S-WMT-0002,WMT-808690,2025-02-09,12,69.24,6.96,62.28,5.77,5.19,IN_STORE
RTL-WMT,S-WMT-0003,WMT-808690,2025-02-08,8,46.16,4.64,41.52,5.77,5.19,RETAILER_ONLINE
RTL-WMT,S-WMT-0003,WMT-808690,2025-02-09,7,40.39,4.06,36.33,5.77,5.19,IN_STORE
RTL-WMT,S-WMT-0002,WMT-569754,2025-02-08,15,88.5,13.2,75.3,5.9,5.02,IN_STORE
RTL-WMT,S-WMT-0003,WMT-569754,2025-02-09,4,23.6,3.52,20.08,5.9,5.02,RETAILER_ONLINE
