retailer_id,store_id,retailer_product_id,snapshot_date,on_hand_units,on_order_units,reserved_qty,available_units
RTL-WMT,S-WMT-0001,WMT-190652,2025-01-08,1,16.0,0,1
RTL-WMT,S-WMT-0003,WMT-190652,2025-01-08,1,24.0,0,1
RTL-WMT,S-WMT-0001,WMT-808690,2025-01-08,0,44.0,0,0
RTL-WMT,S-WMT-0002,WMT-808690,2025-01-08,1,72.0,0,1
RTL-WMT,S-WMT-0003,WMT-808690,2025-01-08,0,64.0,0,0
RTL-WMT,S-WMT-0001,WMT-569754,2025-01-08,0,65.0,0,0
RTL-WMT,S-WMT-0002,WMT-569754,2025-01-08,1,90.0,0,1
RTL-WMT,S-WMT-0001,WMT-505726,2025-01-08,2,21.0,0,2
RTL-WMT,S-WMT-0002,WMT-505726,2025-01-08,6,45.0,0,6
RTL-WMT,S-WMT-0001,WMT-636358,2025-01-08,36,81.0,3,33
RTL-WMT,S-WMT-0003,WMT-636358,2025-01-08,51,114.0,1,50
RTL-WMT,S-WMT-0001,WMT-925729,2025-01-08,56,27.0,3,53
RTL-TGT,S-TGT-0004,TGT-648173,2025-01-08,6,32.0,0,6
RTL-TGT,S-TGT-0005,TGT-656076,2025-01-08,1,46.0,0,1
RTL-TGT,S-TGT-0004,TGT-292925,2025-01-08,15,65.0,1,14
RTL-TGT,S-TGT-0004,TGT-833452,2025-01-08,5,10.0,0,5
RTL-TGT,S-TGT-0004,TGT-591638,2025-01-08,31,126.0,1,30
RTL-TGT,S-TGT-0005,TGT-591638,2025-01-08,18,87.0,1,17
RTL-KRG,S-KRG-0006,KRG-302343,2025-01-08,0,32.0,0,0
RTL-KRG,S-KRG-0007,KRG-655748,2025-01-08,0,17.0,0,0
RTL-KRG,S-KRG-0006,KRG-167383,2025-01-08,1,15.0,0,1
RTL-KRG,S-KRG-0007,KRG-167383,2025-01-08,1,13.0,0,1
RTL-AMZ,S-AMZ-0008,AMZ-687247,2025-01-08,4,77.0,0,4
RTL-AMZ,S-AMZ-0008,AMZ-842746,2025-01-08,24,47.0,2,22
RTL-AMZ,S-AMZ-0008,AMZ-973034,2025-01-08,10,90.0,0,10
RTL-AMZ,S-AMZ-0008,AMZ-850327,2025-01-08,0,81.0,0,0
RTL-AMZ,S-AMZ-0008,AMZ-474194,2025-01-08,9,25.0,0,9
