retailer_id,store_id,retailer_product_id,snapshot_date,on_hand_units,on_order_units,reserved_qty,available_units
RTL-WMT,S-WMT-0001,WMT-190652,2025-01-22,3,17.0,0,3
RTL-WMT,S-WMT-0002,WMT-190652,2025-01-22,2,26.0,0,2
RTL-WMT,S-WMT-0003,WMT-190652,2025-01-22,3,18.0,0,3
RTL-WMT,S-WMT-0002,WMT-495731,2025-01-22,1,63.0,0,1
RTL-WMT,S-WMT-0003,WMT-495731,2025-01-22,0,49.0,0,0
RTL-WMT,S-WMT-0002,WMT-808690,2025-01-22,1,73.0,0,1
RTL-WMT,S-WMT-0003,WMT-808690,2025-01-22,0,63.0,0,0
RTL-WMT,S-WMT-0002,WMT-569754,2025-01-22,8,95.0,0,8
RTL-WMT,S-WMT-0003,WMT-505726,2025-01-22,0,31.0,0,0
RTL-WMT,S-WMT-0002,WMT-636358,2025-01-22,70,104.0,1,69
RTL-WMT,S-WMT-0002,WMT-925729,2025-01-22,119,66.0,3,116
RTL-WMT,S-WMT-0001,WMT-934754,2025-01-22,3,48.0,0,3
RTL-TGT,S-TGT-0005,TGT-458753,2025-01-22,9,24.0,0,9
RTL-TGT,S-TGT-0004,TGT-648173,2025-01-22,13,89.0,1,12
RTL-TGT,S-TGT-0005,TGT-648173,2025-01-22,13,91.0,0,13
RTL-TGT,S-TGT-0005,TGT-656076,2025-01-22,10,33.0,0,10
RTL-TGT,S-TGT-0005,TGT-833452,2025-01-22,6,10.0,0,6
RTL-TGT,S-TGT-0004,TGT-591638,2025-01-22,178,163.0,0,178
RTL-KRG,S-KRG-0006,KRG-576632,2025-01-22,6,24.0,0,6
RTL-KRG,S-KRG-0006,KRG-302343,2025-01-22,0,28.0,0,0
RTL-KRG,S-KRG-0007,KRG-302343,2025-01-22,0,12.0,0,0
RTL-KRG,S-KRG-0006,KRG-655748,2025-01-22,0,19.0,0,0
RTL-KRG,S-KRG-0006,KRG-167383,2025-01-22,0,33.0,0,0
RTL-KRG,S-KRG-0007,KRG-167383,2025-01-22,1,31.0,0,1
RTL-AMZ,S-AMZ-0008,AMZ-687247,2025-01-22,25,30.0,0,25
RTL-AMZ,S-AMZ-0008,AMZ-842746,2025-01-22,25,44.0,0,25
RTL-AMZ,S-AMZ-0008,AMZ-973034,2025-01-22,55,137.0,3,52
RTL-AMZ,S-AMZ-0008,AMZ-850327,2025-01-22,8,129.0,0,8
RTL-AMZ,S-AMZ-0008,AMZ-906944,2025-01-22,29,87.0,0,29
RTL-AMZ,S-AMZ-0008,AMZ-291008,2025-01-22,2,140.0,0,2
RTL-AMZ,S-AMZ-0008,AMZ-168136,2025-01-22,13,121.0,1,12
RTL-AMZ,S-AMZ-0008,AMZ-225608,2025-01-22,5,98.0,0,5
