order_id,order_date,customer_id,product_id,units_ordered,unit_price,discount_amount,net_sales,order_status,fulfillment_type,return_flag
ORD-00000405,2025-02-25,CUST-0000377,P00002,1,5.05,1.23,3.82,RETURNED,STANDARD_SHIP,True
ORD-00000407,2025-02-25,CUST-0000172,P00003,1,5.81,0.86,4.95,DELIVERED,SUBSCRIBE_AND_SAVE,False
ORD-00000410,2025-02-25,CUST-0000298,P00004,2,7.51,1.83,13.19,SHIPPED,STANDARD_SHIP,False
ORD-00000413,2025-02-25,CUST-0000344,P00011,1,7.76,1.83,5.93,CANCELLED,STANDARD_SHIP,False
ORD-00000416,2025-02-26,CUST-0000490,P00002,1,5.05,0.0,5.05,RETURNED,STANDARD_SHIP,True
ORD-00000417,2025-02-26,CUST-0000246,P00003,1,5.81,0.0,5.81,DELIVERED,STANDARD_SHIP,False
ORD-00000418,2025-02-26,CUST-0000240,P00003,1,5.81,0.0,5.81,DELIVERED,STANDARD_SHIP,False
ORD-00000420,2025-02-26,CUST-0000345,P00005,2,8.03,0.0,16.06,DELIVERED,EXPEDITED_SHIP,False
ORD-00000422,2025-02-26,CUST-0000341,P00009,1,3.29,0.0,3.29,DELIVERED,STANDARD_SHIP,False
ORD-00000424,2025-02-26,CUST-0000085,P00011,1,7.76,0.0,7.76,DELIVERED,EXPEDITED_SHIP,False
ORD-00000425,2025-02-26,CUST-0000222,P00012,1,11.92,0.0,11.92,DELIVERED,SUBSCRIBE_AND_SAVE,False
