order_id,order_date,customer_id,product_id,units_ordered,unit_price,discount_amount,net_sales,order_status,fulfillment_type,return_flag
ORD-00000269,2025-02-08,CUST-0000405,P00002,1,5.05,0.0,5.05,DELIVERED,EXPEDITED_SHIP,False
ORD-00000272,2025-02-08,CUST-0000038,P00004,1,7.51,0.0,7.51,DELIVERED,STANDARD_SHIP,False
ORD-00000273,2025-02-08,CUST-0000348,P00005,3,8.03,0.0,24.09,DELIVERED,STANDARD_SHIP,False
ORD-00000274,2025-02-08,CUST-0000131,P00005,1,8.03,0.0,8.03,DELIVERED,STANDARD_SHIP,False
ORD-00000275,2025-02-08,CUST-0000426,P00005,2,8.03,0.0,16.06,DELIVERED,EXPEDITED_SHIP,False
ORD-00000276,2025-02-08,CUST-0000421,P00006,1,7.47,0.0,7.47,DELIVERED,STANDARD_SHIP,False
ORD-00000277,2025-02-08,CUST-0000305,P00009,1,3.29,0.0,3.29,DELIVERED,STANDARD_SHIP,False
ORD-00000281,2025-02-09,CUST-0000304,P00003,1,5.81,0.0,5.81,DELIVERED,STANDARD_SHIP,False
ORD-00000282,2025-02-09,CUST-0000346,P00003,3,5.81,0.0,17.43,DELIVERED,SUBSCRIBE_AND_SAVE,False
ORD-00000283,2025-02-09,CUST-0000278,P00003,1,5.81,0.0,5.81,DELIVERED,SUBSCRIBE_AND_SAVE,False
ORD-00000284,2025-02-09,CUST-0000177,P00005,2,8.03,0.0,16.06,DELIVERED,STANDARD_SHIP,False
ORD-00000285,2025-02-09,CUST-0000172,P00009,1,3.29,0.0,3.29,DELIVERED,STANDARD_SHIP,False
