retailer_id,store_id,retailer_product_id,snapshot_date,on_hand_units,on_order_units,reserved_qty,available_units
RTL-WMT,S-WMT-0001,WMT-190652,2025-01-29,3,14.0,0,3
RTL-WMT,S-WMT-0002,WMT-190652,2025-01-29,2,13.0,0,2
RTL-WMT,S-WMT-0003,WMT-190652,2025-01-29,4,13.0,0,4
RTL-WMT,S-WMT-0002,WMT-495731,2025-01-29,0,55.0,0,0
RTL-WMT,S-WMT-0001,WMT-808690,2025-01-29,2,36.0,0,2
RTL-WMT,S-WMT-0002,WMT-808690,2025-01-29,0,68.0,0,0
RTL-WMT,S-WMT-0003,WMT-808690,2025-01-29,0,55.0,0,0
RTL-WMT,S-WMT-0002,WMT-569754,2025-01-29,23,72.0,2,21
RTL-WMT,S-WMT-0003,WMT-569754,2025-01-29,14,43.0,1,13
RTL-WMT,S-WMT-0002,WMT-505726,2025-01-29,0,108.0,0,0
RTL-WMT,S-WMT-0003,WMT-505726,2025-01-29,0,78.0,0,0
RTL-WMT,S-WMT-0002,WMT-636358,2025-01-29,54,94.0,4,50
RTL-WMT,S-WMT-0001,WMT-925729,2025-01-29,95,53.0,7,88
RTL-WMT,S-WMT-0003,WMT-925729,2025-01-29,85,58.0,6,79
RTL-WMT,S-WMT-0002,WMT-934754,2025-01-29,15,84.0,1,14
RTL-TGT,S-TGT-0004,TGT-458753,2025-01-29,9,16.0,0,9
RTL-TGT,S-TGT-0004,TGT-648173,2025-01-29,25,64.0,1,24
RTL-TGT,S-TGT-0005,TGT-656076,2025-01-29,11,29.0,0,11
RTL-TGT,S-TGT-0004,TGT-591638,2025-01-29,238,87.0,6,232
RTL-TGT,S-TGT-0005,TGT-591638,2025-01-29,164,55.0,8,156
RTL-KRG,S-KRG-0006,KRG-576632,2025-01-29,16,34.0,1,15
RTL-KRG,S-KRG-0007,KRG-576632,2025-01-29,13,45.0,1,12
RTL-KRG,S-KRG-0007,KRG-302343,2025-01-29,0,32.0,0,0
RTL-KRG,S-KRG-0007,KRG-655748,2025-01-29,0,17.0,0,0
RTL-KRG,S-KRG-0006,KRG-167383,2025-01-29,4,35.0,0,4
RTL-KRG,S-KRG-0007,KRG-167383,2025-01-29,5,24.0,0,5
RTL-AMZ,S-AMZ-0008,AMZ-587168,2025-01-29,18,140.0,0,18
RTL-AMZ,S-AMZ-0008,AMZ-842746,2025-01-29,28,96.0,2,26
RTL-AMZ,S-AMZ-0008,AMZ-850327,2025-01-29,33,120.0,1,32
RTL-AMZ,S-AMZ-0008,AMZ-906944,2025-01-29,34,120.0,2,32
RTL-AMZ,S-AMZ-0008,AMZ-291008,2025-01-29,3,194.0,0,3
RTL-AMZ,S-AMZ-0008,AMZ-168136,2025-01-29,41,88.0,1,40
RTL-AMZ,S-AMZ-0008,AMZ-225608,2025-01-29,0,63.0,0,0
