order_id,order_date,customer_id,product_id,units_ordered,unit_price,discount_amount,net_sales,order_status,fulfillment_type,return_flag
ORD-00000172,2025-01-27,CUST-0000268,P00007,1,2.87,0.0,2.87,CANCELLED,STANDARD_SHIP,False
ORD-00000174,2025-01-27,CUST-0000128,P00009,2,3.29,0.0,6.58,DELIVERED,STANDARD_SHIP,False
ORD-00000178,2025-01-28,CUST-0000163,P00002,1,5.05,0.0,5.05,DELIVERED,EXPEDITED_SHIP,False
ORD-00000179,2025-01-28,CUST-0000124,P00002,1,5.05,0.0,5.05,DELIVERED,STANDARD_SHIP,False
ORD-00000181,2025-01-28,CUST-0000270,P00003,1,5.81,0.0,5.81,DELIVERED,STANDARD_SHIP,False
ORD-00000183,2025-01-28,CUST-0000364,P00003,1,5.81,0.0,5.81,DELIVERED,STANDARD_SHIP,False
ORD-00000184,2025-01-28,CUST-0000331,P00005,2,8.03,0.0,16.06,PROCESSING,STANDARD_SHIP,False
ORD-00000185,2025-01-28,CUST-0000375,P00007,1,2.87,0.0,2.87,DELIVERED,STANDARD_SHIP,False
ORD-00000186,2025-01-28,CUST-0000162,P00009,2,3.29,0.0,6.58,DELIVERED,STANDARD_SHIP,False
ORD-00000187,2025-01-28,CUST-0000473,P00011,1,7.76,0.0,7.76,DELIVERED,SUBSCRIBE_AND_SAVE,False
ORD-00000188,2025-01-28,CUST-0000046,P00011,1,7.76,0.0,7.76,DELIVERED,STANDARD_SHIP,False
ORD-00000184,2025-01-28,CUST-0000331,P00005,2,8.03,0.0,16.06,PROCESSING,STANDARD_SHIP,False
