shipment_id,retailer_id,distribution_center_id,product_id,shipment_date,units_shipped,shipment_status,estimated_delivery_date,actual_delivery_date
SHP-0000003,RTL-WMT,DC-MW-01,P00001,2025-01-13,70,DELIVERED,2025-01-20,2025-01-20
SHP-0000030,RTL-WMT,DC-MW-01,P00005,2025-01-12,224,IN_TRANSIT,2025-01-16,
SHP-0000039,RTL-WMT,DC-MW-01,P00007,2025-01-13,96,DELAYED,2025-01-16,2025-01-23
SHP-0000058,RTL-WMT,DC-MW-01,P00009,2025-01-13,100,DELIVERED,2025-01-16,2025-01-16
SHP-0000081,RTL-TGT,DC-MW-01,P00001,2025-01-12,60,IN_TRANSIT,2025-01-17,
SHP-0000090,RTL-TGT,DC-MW-01,P00002,2025-01-12,65,DELIVERED,2025-01-19,2025-01-20
SHP-0000099,RTL-TGT,DC-MW-01,P00003,2025-01-13,104,DELIVERED,2025-01-20,2025-01-19
SHP-0000108,RTL-TGT,DC-MW-01,P00005,2025-01-12,122,DELIVERED,2025-01-16,2025-01-15
SHP-0000190,RTL-AMZ,DC-SE-01,P00002,2025-01-13,95,CANCELLED,2025-01-17,
SHP-0000208,RTL-AMZ,DC-SE-01,P00004,2025-01-12,90,DELIVERED,2025-01-18,2025-01-20
SHP-0000235,RTL-AMZ,DC-SE-01,P00007,2025-01-13,98,DELIVERED,2025-01-18,2025-01-20
SHP-0000262,RTL-AMZ,DC-SE-01,P00011,2025-01-13,42,DELIVERED,2025-01-18,2025-01-18
