retailer_id,store_id,retailer_product_id,transaction_date,units_sold,gross_sales,discount_amount,net_sales,regular_price,selling_price,sales_channel
RTL-WMT,S-WMT-0001,WMT-190652,2025-01-04,3,6.54,0.66,5.88,2.18,1.96,IN_STORE
RTL-WMT,S-WMT-0003,WMT-190652,2025-01-04,4,8.72,0.88,7.84,2.18,1.96,IN_STORE
RTL-WMT,S-WMT-0001,WMT-495731,2025-01-04,8,34.24,6.88,27.36,4.28,3.42,IN_STORE
RTL-WMT,S-WMT-0001,WMT-495731,2025-01-05,5,21.4,4.3,17.1,4.28,3.42,IN_STORE
RTL-WMT,S-WMT-0003,WMT-495731,2025-01-04,7,29.96,6.02,23.94,4.28,3.42,IN_STORE
RTL-WMT,S-WMT-0003,WMT-495731,2025-01-05,4,17.12,3.44,13.68,4.28,3.42,IN_STORE
RTL-WMT,S-WMT-0001,WMT-808690,2025-01-05,5,28.85,4.35,24.5,5.77,4.9,IN_STORE
RTL-WMT,S-WMT-0002,WMT-808690,2025-01-05,7,40.39,6.09,34.3,5.77,4.9,IN_STORE
RTL-WMT,S-WMT-0003,WMT-808690,2025-01-04,12,69.24,10.44,58.8,5.77,4.9,IN_STORE
RTL-WMT,S-WMT-0001,WMT-569754,2025-01-04,4,23.6,0.0,23.6,5.9,5.9,RETAILER_ONLINE
RTL-WMT,S-WMT-0002,WMT-569754,2025-01-04,8,47.2,0.0,47.2,5.9,5.9,RETAILER_ONLINE
RTL-WMT,S-WMT-0002,WMT-569754,2025-01-05,7,41.3,8.26,33.04,5.9,4.72,IN_STORE
RTL-WMT,S-WMT-0001,WMT-505726,2025-01-05,2,4.08,0.62,3.46,2.04,1.73,IN_STORE
RTL-WMT,S-WMT-0003,WMT-505726,2025-01-04,13,26.52,4.03,22.49,2.04,1.73,IN_STORE
RTL-WMT,S-WMT-0002,WMT-636358,2025-01-05,15,20.55,5.1,15.45,1.37,1.03,IN_STORE
RTL-WMT,S-WMT-0002,WMT-925729,2025-01-05,16,40.8,6.08,34.72,2.55,2.17,IN_STORE
RTL-WMT,S-WMT-0003,WMT-925729,2025-01-04,6,15.3,2.28,13.02,2.55,2.17,RETAILER_ONLINE
RTL-WMT,S-WMT-0003,WMT-925729,2025-01-05,7,17.85,2.66,15.19,2.55,2.17,IN_STORE
RTL-WMT,S-WMT-0001,WMT-934754,2025-01-04,1,5.58,0.0,5.58,5.58,5.58,RETAILER_ONLINE
RTL-WMT,S-WMT-0002,WMT-934754,2025-01-04,11,61.38,0.0,61.38,5.58,5.58,IN_STORE
RTL-WMT,S-WMT-0002,WMT-934754,2025-01-05,11,61.38,0.0,61.38,5.58,5.58,IN_STORE
RTL-TGT,S-TGT-0004,TGT-458753,2025-01-05,2,4.5,0.0,4.5,2.25,2.25,IN_STORE
RTL-TGT,S-TGT-0005,TGT-458753,2025-01-04,2,4.5,0.0,4.5,2.25,2.25,IN_STORE
RTL-TGT,S-TGT-0005,TGT-458753,2025-01-05,2,4.5,0.0,4.5,2.25,2.25,IN_STORE
RTL-TGT,S-TGT-0004,TGT-648173,2025-01-05,7,28.49,4.27,24.22,4.07,3.46,RETAILER_ONLINE
RTL-TGT,S-TGT-0005,TGT-648173,2025-01-04,8,32.56,4.88,27.68,4.07,3.46,RETAILER_ONLINE
RTL-TGT,S-TGT-0005,TGT-656076,2025-01-05,3,13.77,0.0,13.77,4.59,4.59,IN_STORE
RTL-TGT,S-TGT-0004,TGT-292925,2025-01-04,5,30.0,0.0,30.0,6.0,6.0,IN_STORE
RTL-TGT,S-TGT-0004,TGT-292925,2025-01-05,3,18.0,0.0,18.0,6.0,6.0,IN_STORE
RTL-TGT,S-TGT-0005,TGT-292925,2025-01-04,2,12.0,0.0,12.0,6.0,6.0,IN_STORE
RTL-TGT,S-TGT-0005,TGT-292925,2025-01-05,1,6.0,0.0,6.0,6.0,6.0,IN_STORE
RTL-TGT,S-TGT-0004,TGT-833452,2025-01-05,3,17.1,2.58,14.52,5.7,4.84,IN_STORE
RTL-TGT,S-TGT-0004,TGT-591638,2025-01-04,24,33.36,8.4,24.96,1.39,1.04,IN_STORE
RTL-TGT,S-TGT-0005,TGT-591638,2025-01-04,10,13.9,3.5,10.4,1.39,1.04,RETAILER_ONLINE
