retailer_id,store_id,retailer_product_id,transaction_date,units_sold,gross_sales,discount_amount,net_sales,regular_price,selling_price,sales_channel
RTL-WMT,S-WMT-0002,WMT-190652,2025-01-26,5,10.9,1.1,9.8,2.18,1.96,IN_STORE
RTL-WMT,S-WMT-0003,WMT-190652,2025-01-26,2,4.36,0.44,3.92,2.18,1.96,IN_STORE
RTL-WMT,S-WMT-0001,WMT-495731,2025-01-25,7,29.96,3.01,26.95,4.28,3.85,IN_STORE
RTL-WMT,S-WMT-0003,WMT-495731,2025-01-26,8,34.24,3.44,30.8,4.28,3.85,IN_STORE
RTL-WMT,S-WMT-0001,WMT-808690,2025-01-26,2,11.54,0.0,11.54,5.77,5.77,RETAILER_ONLINE
RTL-WMT,S-WMT-0003,WMT-808690,2025-01-26,5,28.85,0.0,28.85,5.77,5.77,RETAILER_ONLINE
RTL-WMT,S-WMT-0001,WMT-569754,2025-01-25,4,23.6,4.72,18.88,5.9,4.72,IN_STORE
RTL-WMT,S-WMT-0001,WMT-569754,2025-01-26,6,35.4,0.0,35.4,5.9,5.9,IN_STORE
RTL-WMT,S-WMT-0002,WMT-569754,2025-01-25,9,53.1,10.62,42.48,5.9,4.72,IN_STORE
RTL-WMT,S-WMT-0002,WMT-569754,2025-01-26,7,41.3,0.0,41.3,5.9,5.9,IN_STORE
RTL-WMT,S-WMT-0001,WMT-505726,2025-01-25,4,8.16,0.8,7.36,2.04,1.84,IN_STORE
RTL-WMT,S-WMT-0003,WMT-505726,2025-01-26,10,20.4,2.0,18.4,2.04,1.84,IN_STORE
RTL-WMT,S-WMT-0001,WMT-636358,2025-01-25,16,21.92,0.0,21.92,1.37,1.37,IN_STORE
RTL-WMT,S-WMT-0002,WMT-636358,2025-01-25,10,13.7,0.0,13.7,1.37,1.37,IN_STORE
RTL-WMT,S-WMT-0003,WMT-636358,2025-01-25,8,10.96,0.0,10.96,1.37,1.37,IN_STORE
RTL-WMT,S-WMT-0003,WMT-636358,2025-01-26,7,9.59,0.0,9.59,1.37,1.37,IN_STORE
RTL-WMT,S-WMT-0002,WMT-925729,2025-01-25,16,40.8,8.16,32.64,2.55,2.04,IN_STORE
RTL-WMT,S-WMT-0002,WMT-925729,2025-01-26,8,20.4,4.08,16.32,2.55,2.04,IN_STORE
RTL-WMT,S-WMT-0003,WMT-925729,2025-01-26,6,15.3,3.06,12.24,2.55,2.04,IN_STORE
RTL-WMT,S-WMT-0001,WMT-934754,2025-01-25,2,11.16,0.0,11.16,5.58,5.58,IN_STORE
RTL-WMT,S-WMT-0002,WMT-934754,2025-01-25,4,22.32,0.0,22.32,5.58,5.58,IN_STORE
RTL-WMT,S-WMT-0002,WMT-934754,2025-01-26,9,50.22,0.0,50.22,5.58,5.58,IN_STORE
RTL-WMT,S-WMT-0003,WMT-934754,2025-01-25,8,44.64,0.0,44.64,5.58,5.58,IN_STORE
RTL-WMT,S-WMT-0003,WMT-934754,2025-01-26,3,16.74,0.0,16.74,5.58,5.58,
RTL-TGT,S-TGT-0004,TGT-458753,2025-01-25,5,11.25,2.25,9.0,2.25,1.8,IN_STORE
RTL-TGT,S-TGT-0005,TGT-458753,2025-01-25,5,11.25,2.25,9.0,2.25,1.8,IN_STORE
RTL-TGT,S-TGT-0004,TGT-648173,2025-01-26,10,40.7,12.2,28.5,4.07,2.85,IN_STORE
RTL-TGT,S-TGT-0005,TGT-656076,2025-01-26,4,18.36,0.0,18.36,4.59,4.59,RETAILER_ONLINE
RTL-TGT,S-TGT-0004,TGT-292925,2025-01-25,15,90.0,13.5,76.5,6.0,5.1,IN_STORE
RTL-TGT,S-TGT-0004,TGT-292925,2025-01-26,8,48.0,7.2,40.8,6.0,5.1,RETAILER_ONLINE
RTL-TGT,S-TGT-0005,TGT-292925,2025-01-25,3,18.0,2.7,15.3,6.0,5.1,IN_STORE
RTL-TGT,S-TGT-0004,TGT-591638,2025-01-25,25,34.75,5.25,29.5,1.39,1.18,IN_STORE
RTL-TGT,S-TGT-0005,TGT-591638,2025-01-26,6,8.34,1.26,7.08,1.39,1.18,IN_STORE
RTL-KRG,S-KRG-0006,KRG-576632,2025-01-25,2,12.72,0.0,12.72,6.36,6.36,IN_STORE
RTL-KRG,S-KRG-0007,KRG-576632,2025-01-25,1,6.36,0.0,6.36,6.36,6.36,IN_STORE
RTL-KRG,S-KRG-0007,KRG-302343,2025-01-26,2,14.04,2.8,11.24,7.02,5.62,IN_STORE
RTL-KRG,S-KRG-0006,KRG-655748,2025-01-25,9,24.39,4.86,19.53,2.71,2.17,IN_STORE
RTL-KRG,S-KRG-0006,KRG-655748,2025-01-26,3,8.13,1.62,6.51,2.71,2.17,IN_STORE
RTL-KRG,S-KRG-0007,KRG-655748,2025-01-26,4,10.84,2.16,8.68,2.71,2.17,IN_STORE
RTL-AMZ,S-AMZ-0008,AMZ-687247,2025-01-26,10,25.2,5.0,20.2,2.52,2.02,MARKETPLACE
RTL-AMZ,S-AMZ-0008,AMZ-842746,2025-01-26,8,37.6,0.0,37.6,4.7,4.7,MARKETPLACE
RTL-AMZ,S-AMZ-0008,AMZ-973034,2025-01-26,27,170.64,42.66,127.98,6.32,4.74,MARKETPLACE
RTL-AMZ,S-AMZ-0008,AMZ-850327,2025-01-25,6,38.34,0.0,38.34,6.39,6.39,MARKETPLACE
RTL-AMZ,S-AMZ-0008,AMZ-850327,2025-01-26,10,63.9,0.0,63.9,6.39,6.39,MARKETPLACE
RTL-AMZ,S-AMZ-0008,AMZ-474194,2025-01-18,4,24.88,3.72,21.16,6.22,5.29,MARKETPLACE
RTL-AMZ,S-AMZ-0008,AMZ-906944,2025-01-25,16,36.16,3.68,32.48,2.26,2.03,MARKETPLACE
RTL-AMZ,S-AMZ-0008,AMZ-225608,2025-01-25,9,57.33,0.0,57.33,6.37,6.37,MARKETPLACE
