retailer_id,store_id,retailer_product_id,snapshot_date,on_hand_units,on_order_units,reserved_qty,available_units
RTL-WMT,S-WMT-0002,WMT-495731,2025-02-26,12,0.0,1,11
RTL-WMT,S-WMT-0003,WMT-495731,2025-02-26,9,0.0,1,8
RTL-WMT,S-WMT-0001,WMT-569754,2025-02-26,13,0.0,0,13
RTL-WMT,S-WMT-0002,WMT-569754,2025-02-26,20,0.0,1,19
RTL-WMT,S-WMT-0003,WMT-569754,2025-02-26,12,0.0,1,11
RTL-WMT,S-WMT-0001,WMT-505726,2025-02-26,15,0.0,0,15
RTL-WMT,S-WMT-0003,WMT-505726,2025-02-26,26,0.0,0,26
RTL-WMT,S-WMT-0002,WMT-636358,2025-02-26,88,0.0,6,82
RTL-WMT,S-WMT-0002,WMT-925729,2025-02-26,233,0.0,19,214
RTL-WMT,S-WMT-0003,WMT-925729,2025-02-26,142,0.0,7,135
RTL-WMT,S-WMT-0001,WMT-934754,2025-02-26,3,0.0,0,3
RTL-WMT,S-WMT-0002,WMT-934754,2025-02-26,3,0.0,0,3
RTL-WMT,S-WMT-0003,WMT-934754,2025-02-26,2,0.0,0,2
RTL-TGT,S-TGT-0005,TGT-458753,2025-02-26,8,0.0,1,7
RTL-TGT,S-TGT-0005,TGT-656076,2025-02-26,12,0.0,1,11
RTL-TGT,S-TGT-0004,TGT-833452,2025-02-26,9,0.0,0,9
RTL-TGT,S-TGT-0005,TGT-591638,2025-02-26,223,0.0,2,221
RTL-KRG,S-KRG-0007,KRG-576632,2025-02-26,54,0.0,0,54
RTL-KRG,S-KRG-0006,KRG-655748,2025-02-26,3,0.0,0,3
RTL-KRG,S-KRG-0007,KRG-167383,2025-02-26,0,0.0,0,0
RTL-AMZ,S-AMZ-0008,AMZ-587168,2025-02-26,46,0.0,1,45
RTL-AMZ,S-AMZ-0008,AMZ-906944,2025-02-26,69,0.0,2,67
RTL-AMZ,S-AMZ-0008,AMZ-291008,2025-02-26,31,0.0,1,30
