retailer_id,store_id,retailer_product_id,snapshot_date,on_hand_units,on_order_units,reserved_qty,available_units
RTL-WMT,S-WMT-0001,WMT-190652,2025-01-15,3,25.0,0,3
RTL-WMT,S-WMT-0003,WMT-190652,2025-01-15,2,29.0,0,2
RTL-WMT,S-WMT-0001,WMT-495731,2025-01-15,4,34.0,0,4
RTL-WMT,S-WMT-0002,WMT-495731,2025-01-15,8,67.0,1,7
RTL-WMT,S-WMT-0003,WMT-495731,2025-01-15,6,56.0,0,6
RTL-WMT,S-WMT-0002,WMT-808690,2025-01-15,0,65.0,0,0
RTL-WMT,S-WMT-0003,WMT-808690,2025-01-15,0,51.0,0,0
RTL-WMT,S-WMT-0001,WMT-569754,2025-01-15,12,38.0,0,12
RTL-WMT,S-WMT-0002,WMT-569754,2025-01-15,17,59.0,1,16
RTL-WMT,S-WMT-0003,WMT-505726,2025-01-15,4,65.0,0,4
RTL-WMT,S-WMT-0001,WMT-636358,2025-01-15,41,95.0,1,40
RTL-WMT,S-WMT-0002,WMT-636358,2025-01-15,64,99.0,2,62
RTL-WMT,S-WMT-0003,WMT-636358,2025-01-15,57,106.0,3,54
RTL-WMT,S-WMT-0001,WMT-925729,2025-01-15,66,54.0,4,62
RTL-WMT,S-WMT-0001,WMT-934754,2025-01-15,2,25.0,0,2
RTL-WMT,S-WMT-0002,WMT-934754,2025-01-15,4,49.0,0,4
RTL-TGT,S-TGT-0005,TGT-458753,2025-01-15,9,27.0,0,9
RTL-TGT,S-TGT-0004,TGT-648173,2025-01-15,6,53.0,0,6
RTL-TGT,S-TGT-0005,TGT-656076,2025-01-15,5,33.0,0,5
RTL-TGT,S-TGT-0005,TGT-292925,2025-01-15,19,30.0,1,18
RTL-KRG,S-KRG-0006,KRG-576632,2025-01-15,6,15.0,0,6
RTL-KRG,S-KRG-0007,KRG-576632,2025-01-15,4,10.0,0,4
RTL-KRG,S-KRG-0007,KRG-302343,2025-01-15,1,19.0,0,1
RTL-KRG,S-KRG-0006,KRG-655748,2025-01-15,1,29.0,0,1
RTL-AMZ,S-AMZ-0008,AMZ-687247,2025-01-15,11,85.0,1,10
RTL-AMZ,S-AMZ-0008,AMZ-587168,2025-01-15,7,66.0,0,7
RTL-AMZ,S-AMZ-0008,AMZ-906944,2025-01-15,17,94.0,1,16
RTL-AMZ,S-AMZ-0008,AMZ-225608,2025-01-15,0,56.0,0,0
