order_id,order_date,customer_id,product_id,units_ordered,unit_price,discount_amount,net_sales,order_status,fulfillment_type,return_flag
ORD-00000199,2025-01-30,CUST-0000046,P00002,3,5.05,1.88,13.27,SHIPPED,STANDARD_SHIP,False
ORD-00000200,2025-01-30,CUST-0000302,P00002,2,5.05,0.0,10.1,CANCELLED,STANDARD_SHIP,False
ORD-00000202,2025-01-30,CUST-0000214,P00004,1,7.51,0.0,7.51,DELIVERED,STANDARD_SHIP,False
ORD-00000203,2025-01-30,CUST-0000412,P00004,1,7.51,0.0,7.51,DELIVERED,STANDARD_SHIP,False
ORD-00000204,2025-01-30,CUST-0000362,P00005,2,8.03,0.0,16.06,DELIVERED,EXPEDITED_SHIP,False
ORD-00000205,2025-01-30,CUST-0000316,P00007,1,2.87,0.32,2.55,DELIVERED,SUBSCRIBE_AND_SAVE,False
ORD-00000207,2025-01-30,CUST-0000181,P00009,1,3.29,0.0,3.29,SHIPPED,EXPEDITED_SHIP,False
ORD-00000208,2025-01-30,CUST-0000272,P00009,1,3.29,0.44,2.85,DELIVERED,EXPEDITED_SHIP,False
ORD-00000209,2025-01-31,CUST-0000116,P00002,1,5.05,0.0,5.05,DELIVERED,,False
ORD-00000210,2025-01-31,CUST-0000048,P00002,1,5.05,0.0,5.05,DELIVERED,EXPEDITED_SHIP,False
ORD-00000211,2025-01-31,CUST-0000112,P00002,1,5.05,0.0,5.05,DELIVERED,SUBSCRIBE_AND_SAVE,False
ORD-00000212,2025-01-31,CUST-0000135,P00004,2,7.51,0.0,15.02,DELIVERED,STANDARD_SHIP,False
ORD-00000214,2025-01-31,CUST-0000158,P00005,1,8.03,0.0,8.03,DELIVERED,SUBSCRIBE_AND_SAVE,False
ORD-00000215,2025-01-31,CUST-0000030,P00007,1,2.87,0.0,2.87,DELIVERED,EXPEDITED_SHIP,False
ORD-00000216,2025-01-31,CUST-0000137,P00009,2,3.29,0.0,6.58,DELIVERED,STANDARD_SHIP,False
