shipment_id,retailer_id,distribution_center_id,product_id,shipment_date,units_shipped,shipment_status,estimated_delivery_date,actual_delivery_date
SHP-0000024,RTL-WMT,DC-MW-01,P00004,2025-02-04,159,DELIVERED,2025-02-10,2025-02-10
SHP-0000033,RTL-WMT,DC-MW-01,P00005,2025-02-03,158,DELIVERED,2025-02-08,2025-02-10
SHP-0000052,RTL-WMT,DC-MW-01,P00008,2025-02-03,232,DELIVERED,2025-02-10,2025-02-10
SHP-0000061,RTL-WMT,DC-MW-01,P00009,2025-02-04,201,DELIVERED,2025-02-07,2025-02-06
SHP-0000093,RTL-TGT,DC-MW-01,P00002,2025-02-04,155,DELIVERED,2025-02-08,2025-02-08
SHP-0000102,RTL-TGT,DC-MW-01,P00003,2025-02-04,76,DELIVERED,2025-02-10,2025-02-10
SHP-0000193,RTL-AMZ,DC-SE-01,P00002,2025-02-04,140,DELIVERED,2025-02-09,2025-02-10
SHP-0000211,RTL-AMZ,DC-SE-01,P00004,2025-02-03,148,DELIVERED,2025-02-09,2025-02-11
SHP-0000229,RTL-AMZ,DC-SE-01,P00006,2025-02-04,41,DELIVERED,2025-02-07,2025-02-08
SHP-0000247,RTL-AMZ,DC-SE-01,P00008,2025-02-03,194,DELIVERED,2025-02-09,2025-02-10
