retailer_id,store_id,retailer_product_id,transaction_date,units_sold,gross_sales,discount_amount,net_sales,regular_price,selling_price,sales_channel
RTL-WMT,S-WMT-0001,WMT-190652,2025-01-08,2,4.36,0.44,3.92,2.18,1.96,IN_STORE
RTL-WMT,S-WMT-0001,WMT-190652,2025-01-15,3,6.54,0.66,5.88,2.18,1.96,RETAILER_ONLINE
RTL-WMT,S-WMT-0001,WMT-190652,2025-01-16,2,4.36,0.44,3.92,2.18,1.96,IN_STORE
RTL-WMT,S-WMT-0003,WMT-190652,2025-01-15,4,8.72,0.88,7.84,2.18,1.96,IN_STORE
RTL-WMT,S-WMT-0003,WMT-190652,2025-01-16,2,4.36,0.44,3.92,2.18,1.96,IN_STORE
RTL-WMT,S-WMT-0001,WMT-495731,2025-01-15,4,17.12,3.44,13.68,4.28,3.42,RETAILER_ONLINE
RTL-WMT,S-WMT-0001,WMT-495731,2025-01-16,9,38.52,7.74,30.78,4.28,3.42,IN_STORE
RTL-WMT,S-WMT-0002,WMT-495731,2025-01-15,9,38.52,7.74,30.78,4.28,3.42,IN_STORE
RTL-WMT,S-WMT-0003,WMT-495731,2025-01-15,7,29.96,6.02,23.94,4.28,3.42,IN_STORE
RTL-WMT,S-WMT-0002,WMT-808690,2025-01-15,2,11.54,1.74,9.8,5.77,4.9,IN_STORE
RTL-WMT,S-WMT-0002,WMT-808690,2025-01-16,8,46.16,6.96,39.2,5.77,4.9,IN_STORE
RTL-WMT,S-WMT-0001,WMT-569754,2025-01-15,10,59.0,11.8,47.2,5.9,4.72,IN_STORE
RTL-WMT,S-WMT-0002,WMT-569754,2025-01-15,10,59.0,11.8,47.2,5.9,4.72,IN_STORE
RTL-WMT,S-WMT-0003,WMT-569754,2025-01-15,6,35.4,7.08,28.32,5.9,4.72,IN_STORE
RTL-WMT,S-WMT-0003,WMT-569754,2025-01-16,12,70.8,14.16,56.64,5.9,4.72,IN_STORE
RTL-WMT,S-WMT-0001,WMT-505726,2025-01-15,2,4.08,0.82,3.26,2.04,1.63,IN_STORE
RTL-WMT,S-WMT-0001,WMT-505726,2025-01-16,4,8.16,1.64,6.52,2.04,1.63,IN_STORE
RTL-WMT,S-WMT-0002,WMT-505726,2025-01-15,10,20.4,4.1,16.3,2.04,1.63,IN_STORE
RTL-WMT,S-WMT-0002,WMT-505726,2025-01-16,11,22.44,4.51,17.93,2.04,1.63,IN_STORE
RTL-WMT,S-WMT-0003,WMT-505726,2025-01-15,2,4.08,0.82,3.26,2.04,1.63,RETAILER_ONLINE
