retailer_id,store_id,retailer_product_id,snapshot_date,on_hand_units,on_order_units,reserved_qty,available_units
RTL-WMT,S-WMT-0002,WMT-495731,2025-02-12,0,62.0,0,0
RTL-WMT,S-WMT-0002,WMT-808690,2025-02-12,0,40.0,0,0
RTL-WMT,S-WMT-0003,WMT-808690,2025-02-12,0,25.0,0,0
RTL-WMT,S-WMT-0001,WMT-569754,2025-02-12,15,,0,15
RTL-WMT,S-WMT-0001,WMT-505726,2025-02-12,16,8.0,0,16
RTL-WMT,S-WMT-0002,WMT-505726,2025-02-12,38,43.0,3,35
RTL-WMT,S-WMT-0003,WMT-505726,2025-02-12,26,29.0,1,25
RTL-WMT,S-WMT-0002,WMT-636358,2025-02-12,68,141.0,5,63
RTL-WMT,S-WMT-0002,WMT-925729,2025-02-12,221,75.0,10,211
RTL-WMT,S-WMT-0002,WMT-934754,2025-02-12,7,92.0,0,7
RTL-TGT,S-TGT-0005,TGT-458753,2025-02-12,7,15.0,0,7
RTL-TGT,S-TGT-0004,TGT-292925,2025-02-12,45,46.0,4,41
RTL-TGT,S-TGT-0005,TGT-833452,2025-02-12,7,9.0,0,7
RTL-TGT,S-TGT-0005,TGT-591638,2025-02-12,219,31.0,13,206
RTL-KRG,S-KRG-0006,KRG-576632,2025-02-12,61,22.0,5,56
RTL-KRG,S-KRG-0007,KRG-302343,2025-02-12,5,20.0,0,5
RTL-KRG,S-KRG-0007,KRG-655748,2025-02-12,1,20.0,0,1
RTL-AMZ,S-AMZ-0008,AMZ-973034,2025-02-12,5,64.0,0,5
RTL-AMZ,S-AMZ-0008,AMZ-291008,2025-02-12,28,115.0,1,27
RTL-AMZ,S-AMZ-0008,AMZ-225608,2025-02-12,0,75.0,0,0
