retailer_id,store_id,retailer_product_id,snapshot_date,on_hand_units,on_order_units,reserved_qty,available_units
RTL-WMT,S-WMT-0002,WMT-190652,2025-01-15,2,39.0,0,2
RTL-WMT,S-WMT-0001,WMT-808690,2025-01-15,0,37.0,0,0
RTL-WMT,S-WMT-0003,WMT-569754,2025-01-15,12,29.0,0,12
RTL-WMT,S-WMT-0001,WMT-505726,2025-01-15,1,40.0,0,1
RTL-WMT,S-WMT-0002,WMT-505726,2025-01-15,3,64.0,0,3
RTL-WMT,S-WMT-0002,WMT-925729,2025-01-15,95,91.0,3,92
RTL-WMT,S-WMT-0003,WMT-925729,2025-01-15,61,42.0,4,57
RTL-WMT,S-WMT-0003,WMT-934754,2025-01-15,2,28.0,0,2
RTL-TGT,S-TGT-0004,TGT-458753,2025-01-15,10,21.0,0,10
RTL-TGT,S-TGT-0005,TGT-648173,2025-01-15,5,57.0,0,5
RTL-TGT,S-TGT-0004,TGT-656076,2025-01-15,7,40.0,1,6
RTL-TGT,S-TGT-0004,TGT-292925,2025-01-15,22,57.0,1,21
RTL-TGT,S-TGT-0004,TGT-833452,2025-01-15,5,17.0,0,5
RTL-TGT,S-TGT-0005,TGT-833452,2025-01-15,5,17.0,0,5
RTL-TGT,S-TGT-0004,TGT-591638,2025-01-15,93,198.0,1,92
RTL-TGT,S-TGT-0005,TGT-591638,2025-01-15,60,144.0,1,59
RTL-KRG,S-KRG-0006,KRG-302343,2025-01-15,2,31.0,0,2
RTL-KRG,S-KRG-0007,KRG-655748,2025-01-15,1,23.0,0,1
RTL-KRG,S-KRG-0006,KRG-167383,2025-01-15,0,25.0,0,0
RTL-KRG,S-KRG-0007,KRG-167383,2025-01-15,0,21.0,0,0
RTL-AMZ,S-AMZ-0008,AMZ-842746,2025-01-15,21,52.0,1,20
RTL-AMZ,S-AMZ-0008,AMZ-973034,2025-01-15,17,187.0,0,17
RTL-AMZ,S-AMZ-0008,AMZ-850327,2025-01-15,6,62.0,0,6
RTL-AMZ,S-AMZ-0008,AMZ-474194,2025-01-15,12,17.0,1,11
RTL-AMZ,S-AMZ-0008,AMZ-291008,2025-01-15,30,133.0,1,29
RTL-AMZ,S-AMZ-0008,AMZ-168136,2025-01-15,9,89.0,1,8
