order_id,order_date,customer_id,product_id,units_ordered,unit_price,discount_amount,net_sales,order_status,fulfillment_type,return_flag
ORD-00000361,2025-02-20,CUST-0000497,P00004,2,7.51,0.0,15.02,PROCESSING,STANDARD_SHIP,False
ORD-00000362,2025-02-20,CUST-0000214,P00004,1,7.51,0.0,7.51,DELIVERED,SUBSCRIBE_AND_SAVE,False
ORD-00000363,2025-02-20,CUST-0000429,P00004,1,7.51,0.0,7.51,DELIVERED,EXPEDITED_SHIP,False
ORD-00000364,2025-02-20,CUST-0000193,P00004,1,7.51,0.0,7.51,RETURNED,SUBSCRIBE_AND_SAVE,True
ORD-00000367,2025-02-20,CUST-0000214,P00011,2,7.76,0.0,15.52,DELIVERED,SUBSCRIBE_AND_SAVE,False
ORD-00000370,2025-02-21,CUST-0000452,P00002,1,5.05,0.0,5.05,CANCELLED,STANDARD_SHIP,False
ORD-00000371,2025-02-21,CUST-0000483,P00004,1,7.51,0.0,7.51,DELIVERED,EXPEDITED_SHIP,False
ORD-00000372,2025-02-21,CUST-0000319,P00004,1,7.51,0.0,7.51,RETURNED,STANDARD_SHIP,True
ORD-00000374,2025-02-21,CUST-0000243,P00005,2,8.03,0.0,16.06,PROCESSING,SUBSCRIBE_AND_SAVE,False
ORD-00000363,2025-02-20,CUST-0000429,P00004,1,7.51,0.0,7.51,DELIVERED,EXPEDITED_SHIP,False
