order_id,order_date,customer_id,product_id,units_ordered,unit_price,discount_amount,net_sales,order_status,fulfillment_type,return_flag
ORD-00000346,2025-02-18,CUST-0000295,P00002,1,5.05,0.0,5.05,SHIPPED,STANDARD_SHIP,False
ORD-00000347,2025-02-18,CUST-0000115,P00002,1,5.05,0.47,4.58,SHIPPED,STANDARD_SHIP,False
ORD-00000348,2025-02-18,CUST-0000397,P00002,1,5.05,0.0,5.05,DELIVERED,STANDARD_SHIP,False
ORD-00000349,2025-02-18,CUST-0000006,P00003,2,5.81,0.0,11.62,DELIVERED,STANDARD_SHIP,False
ORD-00000350,2025-02-18,CUST-0000400,P00004,2,7.51,0.0,15.02,DELIVERED,STANDARD_SHIP,False
ORD-00000351,2025-02-18,CUST-0000098,P00005,1,8.03,0.0,8.03,SHIPPED,SUBSCRIBE_AND_SAVE,False
ORD-00000352,2025-02-18,CUST-0000357,P00007,1,2.87,0.0,2.87,DELIVERED,SUBSCRIBE_AND_SAVE,False
ORD-00000357,2025-02-19,CUST-0000168,P00004,1,7.51,0.0,7.51,RETURNED,SUBSCRIBE_AND_SAVE,True
ORD-00000358,2025-02-19,CUST-0000441,P00004,1,7.51,0.0,7.51,DELIVERED,SUBSCRIBE_AND_SAVE,False
ORD-00000359,2025-02-19,CUST-0000384,P00005,1,8.03,0.0,8.03,CANCELLED,EXPEDITED_SHIP,False
