retailer_id,store_id,retailer_product_id,snapshot_date,on_hand_units,on_order_units,reserved_qty,available_units
RTL-WMT,S-WMT-0001,WMT-190652,2025-02-05,3,7.0,0,3
RTL-WMT,S-WMT-0002,WMT-190652,2025-02-05,0,12.0,0,0
RTL-WMT,S-WMT-0003,WMT-190652,2025-02-05,4,10.0,0,4
RTL-WMT,S-WMT-0001,WMT-569754,2025-02-05,16,38.0,1,15
RTL-WMT,S-WMT-0002,WMT-569754,2025-02-05,25,59.0,1,24
RTL-WMT,S-WMT-0002,WMT-505726,2025-02-05,19,105.0,0,19
RTL-WMT,S-WMT-0003,WMT-505726,2025-02-05,14,67.0,1,13
RTL-WMT,S-WMT-0003,WMT-925729,2025-02-05,113,56.0,7,106
RTL-TGT,S-TGT-0004,TGT-458753,2025-02-05,10,7.0,1,9
RTL-TGT,S-TGT-0004,TGT-648173,2025-02-05,33,68.0,1,32
RTL-TGT,S-TGT-0005,TGT-292925,2025-02-05,33,33.0,1,32
RTL-TGT,S-TGT-0004,TGT-833452,2025-02-05,7,5.0,0,7
RTL-TGT,S-TGT-0005,TGT-591638,2025-02-05,184,114.0,3,181
RTL-KRG,S-KRG-0006,KRG-167383,2025-02-05,10,20.0,0,10
RTL-KRG,S-KRG-0007,KRG-167383,2025-02-05,9,20.0,0,9
RTL-AMZ,S-AMZ-0008,AMZ-687247,2025-02-05,36,55.0,2,34
RTL-AMZ,S-AMZ-0008,AMZ-973034,2025-02-05,32,105.0,0,32
RTL-AMZ,S-AMZ-0008,AMZ-850327,2025-02-05,59,161.0,0,59
RTL-AMZ,S-AMZ-0008,AMZ-474194,2025-02-05,13,30.0,0,13
RTL-AMZ,S-AMZ-0008,AMZ-291008,2025-02-05,33,136.0,2,31
RTL-AMZ,S-AMZ-0008,AMZ-168136,2025-02-05,54,105.0,2,52
RTL-AMZ,S-AMZ-0008,AMZ-225608,2025-02-05,0,112.0,0,0
