retailer_id,store_id,retailer_product_id,snapshot_date,on_hand_units,on_order_units,reserved_qty,available_units
RTL-WMT,S-WMT-0001,WMT-495731,2025-01-29,0,31.0,0,0
RTL-WMT,S-WMT-0003,WMT-495731,2025-01-29,0,50.0,0,0
RTL-WMT,S-WMT-0001,WMT-569754,2025-01-29,15,42.0,1,14
RTL-WMT,S-WMT-0001,WMT-505726,2025-01-29,0,48.0,0,0
RTL-WMT,S-WMT-0001,WMT-636358,2025-01-29,36,60.0,1,35
RTL-WMT,S-WMT-0003,WMT-636358,2025-01-29,49,79.0,3,46
RTL-WMT,S-WMT-0002,WMT-925729,2025-01-29,145,90.0,10,135
RTL-WMT,S-WMT-0001,WMT-934754,2025-01-29,7,27.0,0,7
RTL-WMT,S-WMT-0003,WMT-934754,2025-01-29,9,63.0,0,9
RTL-TGT,S-TGT-0005,TGT-458753,2025-01-29,7,15.0,0,7
RTL-TGT,S-TGT-0005,TGT-648173,2025-01-29,25,90.0,1,24
RTL-TGT,S-TGT-0004,TGT-656076,2025-01-29,14,48.0,1,13
RTL-TGT,S-TGT-0004,TGT-292925,2025-01-29,39,50.0,3,36
RTL-TGT,S-TGT-0005,TGT-292925,2025-01-29,28,43.0,1,27
RTL-TGT,S-TGT-0004,TGT-833452,2025-01-29,10,16.0,1,9
RTL-TGT,S-TGT-0005,TGT-833452,2025-01-29,8,11.0,0,8
RTL-KRG,S-KRG-0006,KRG-302343,2025-01-29,2,31.0,0,2
RTL-KRG,S-KRG-0006,KRG-655748,2025-01-29,0,21.0,0,0
RTL-AMZ,S-AMZ-0008,AMZ-687247,2025-01-29,28,71.0,1,27
RTL-AMZ,S-AMZ-0008,AMZ-973034,2025-01-29,34,148.0,2,32
RTL-AMZ,S-AMZ-0008,AMZ-474194,2025-01-29,10,41.0,0,10
