order_id,order_date,customer_id,product_id,units_ordered,unit_price,discount_amount,net_sales,order_status,fulfillment_type,return_flag
ORD-00000321,2025-02-15,CUST-0000037,P00004,2,7.51,0.0,15.02,SHIPPED,STANDARD_SHIP,False
ORD-00000322,2025-02-15,CUST-0000004,P00005,1,8.03,0.0,8.03,DELIVERED,EXPEDITED_SHIP,False
ORD-00000323,2025-02-15,CUST-0000283,P00005,1,8.03,0.0,8.03,DELIVERED,STANDARD_SHIP,False
ORD-00000324,2025-02-15,CUST-0000401,P00005,2,8.03,0.0,16.06,CANCELLED,STANDARD_SHIP,False
ORD-00000329,2025-02-15,CUST-0000079,P00007,1,2.87,0.0,2.87,DELIVERED,STANDARD_SHIP,False
ORD-00000330,2025-02-15,CUST-0000463,P00011,1,7.76,0.0,7.76,DELIVERED,STANDARD_SHIP,False
ORD-00000331,2025-02-16,CUST-0000007,P00004,1,7.51,0.0,7.51,DELIVERED,STANDARD_SHIP,False
ORD-00000333,2025-02-16,CUST-0000370,P00004,2,7.51,0.0,15.02,DELIVERED,EXPEDITED_SHIP,False
ORD-00000335,2025-02-16,CUST-0000321,P00005,3,8.03,2.89,21.2,DELIVERED,STANDARD_SHIP,False
ORD-00000337,2025-02-16,CUST-0000156,P00007,1,2.87,0.0,2.87,RETURNED,STANDARD_SHIP,True
ORD-00000338,2025-02-16,CUST-0000226,P00007,1,2.87,0.0,2.87,PROCESSING,EXPEDITED_SHIP,False
ORD-00000339,2025-02-16,CUST-0000151,P00008,1,1.86,0.0,1.86,DELIVERED,SUBSCRIBE_AND_SAVE,False
ORD-00000340,2025-02-16,CUST-0000413,P00008,1,1.86,0.0,1.86,DELIVERED,STANDARD_SHIP,False
