retailer_id,store_id,retailer_product_id,transaction_date,units_sold,gross_sales,discount_amount,net_sales,regular_price,selling_price,sales_channel
RTL-WMT,S-WMT-0001,WMT-190652,2025-01-02,2,4.36,0.0,4.36,2.18,2.18,RETAILER_ONLINE
RTL-WMT,S-WMT-0001,WMT-190652,2025-01-03,2,4.36,0.44,3.92,2.18,1.96,IN_STORE
RTL-WMT,S-WMT-0002,WMT-190652,2025-01-02,2,4.36,0.0,4.36,2.18,2.18,IN_STORE
RTL-WMT,S-WMT-0002,WMT-190652,2025-01-03,4,8.72,0.88,7.84,2.18,1.96,IN_STORE
RTL-WMT,S-WMT-0003,WMT-190652,2025-01-02,1,2.18,0.0,2.18,2.18,2.18,IN_STORE
RTL-WMT,S-WMT-0001,WMT-495731,2025-01-02,3,12.84,0.0,12.84,4.28,4.28,IN_STORE
RTL-WMT,S-WMT-0002,WMT-495731,2025-01-03,8,34.24,0.0,34.24,4.28,4.28,IN_STORE
RTL-WMT,S-WMT-0001,WMT-808690,2025-01-02,2,11.54,0.0,11.54,5.77,5.77,IN_STORE
RTL-WMT,S-WMT-0002,WMT-808690,2025-01-02,3,17.31,0.0,17.31,5.77,5.77,IN_STORE
RTL-WMT,S-WMT-0002,WMT-808690,2025-01-03,9,51.93,7.83,44.1,5.77,4.9,IN_STORE
RTL-WMT,S-WMT-0003,WMT-808690,2025-01-03,5,28.85,4.35,24.5,5.77,4.9,IN_STORE
RTL-WMT,S-WMT-0001,WMT-569754,2025-01-03,4,23.6,0.0,23.6,5.9,5.9,IN_STORE
RTL-WMT,S-WMT-0002,WMT-569754,2025-01-02,7,41.3,0.0,41.3,5.9,5.9,IN_STORE
RTL-WMT,S-WMT-0002,WMT-569754,2025-01-03,4,23.6,0.0,23.6,5.9,5.9,RETAILER_ONLINE
RTL-WMT,S-WMT-0003,WMT-569754,2025-01-02,4,23.6,0.0,23.6,5.9,5.9,IN_STORE
RTL-WMT,S-WMT-0003,WMT-569754,2025-01-03,3,17.7,0.0,17.7,5.9,5.9,IN_STORE
RTL-WMT,S-WMT-0001,WMT-505726,2025-01-03,3,6.12,0.93,5.19,2.04,1.73,RETAILER_ONLINE
RTL-WMT,S-WMT-0002,WMT-505726,2025-01-02,6,12.24,1.86,10.38,2.04,1.73,IN_STORE
RTL-WMT,S-WMT-0003,WMT-505726,2025-01-03,11,22.44,3.41,19.03,2.04,1.73,IN_STORE
RTL-WMT,S-WMT-0001,WMT-636358,2025-01-02,7,9.59,0.0,9.59,1.37,1.37,IN_STORE
RTL-WMT,S-WMT-0001,WMT-636358,2025-01-03,14,19.18,4.76,14.42,1.37,1.03,IN_STORE
RTL-WMT,S-WMT-0002,WMT-636358,2025-01-02,18,24.66,0.0,24.66,1.37,1.37,IN_STORE
RTL-WMT,S-WMT-0003,WMT-636358,2025-01-03,14,19.18,4.76,14.42,1.37,1.03,IN_STORE
RTL-WMT,S-WMT-0001,WMT-925729,2025-01-02,6,15.3,2.28,13.02,2.55,2.17,IN_STORE
RTL-WMT,S-WMT-0003,WMT-925729,2025-01-02,4,10.2,1.52,8.68,2.55,2.17,IN_STORE
RTL-WMT,S-WMT-0001,WMT-934754,2025-01-02,2,11.16,0.0,11.16,5.58,5.58,IN_STORE
RTL-WMT,S-WMT-0001,WMT-934754,2025-01-03,7,39.06,0.0,39.06,5.58,5.58,RETAILER_ONLINE
RTL-WMT,S-WMT-0002,WMT-934754,2025-01-03,9,50.22,0.0,50.22,5.58,5.58,IN_STORE
RTL-TGT,S-TGT-0004,TGT-458753,2025-01-03,2,4.5,0.0,4.5,2.25,2.25,IN_STORE
RTL-TGT,S-TGT-0005,TGT-458753,2025-01-02,4,9.0,0.0,9.0,2.25,2.25,RETAILER_ONLINE
RTL-TGT,S-TGT-0005,TGT-458753,2025-01-03,2,4.5,0.0,4.5,2.25,2.25,IN_STORE
RTL-TGT,S-TGT-0004,TGT-648173,2025-01-03,1,4.07,0.0,4.07,4.07,4.07,RETAILER_ONLINE
RTL-TGT,S-TGT-0005,TGT-656076,2025-01-03,6,27.54,0.0,27.54,4.59,4.59,IN_STORE
RTL-TGT,S-TGT-0004,TGT-292925,2025-01-02,3,18.0,0.0,18.0,6.0,6.0,IN_STORE
RTL-TGT,S-TGT-0004,TGT-292925,2025-01-03,2,12.0,0.0,12.0,6.0,6.0,RETAILER_ONLINE
RTL-TGT,S-TGT-0005,TGT-292925,2025-01-02,1,6.0,0.0,6.0,6.0,6.0,IN_STORE
RTL-TGT,S-TGT-0004,TGT-833452,2025-01-02,4,22.8,3.44,19.36,5.7,4.84,IN_STORE
RTL-TGT,S-TGT-0004,TGT-833452,2025-01-03,2,11.4,1.72,9.68,5.7,4.84,IN_STORE
RTL-TGT,S-TGT-0005,TGT-833452,2025-01-02,5,28.5,4.3,24.2,5.7,4.84,IN_STORE
RTL-TGT,S-TGT-0005,TGT-833452,2025-01-03,3,17.1,2.58,14.52,5.7,4.84,IN_STORE
RTL-KRG,S-KRG-0007,KRG-576632,2025-01-03,5,31.8,0.0,31.8,6.36,6.36,IN_STORE
RTL-KRG,S-KRG-0006,KRG-302343,2025-01-02,3,21.06,0.0,21.06,7.02,7.02,RETAILER_ONLINE
RTL-KRG,S-KRG-0006,KRG-302343,2025-01-03,6,42.12,8.4,33.72,7.02,5.62,IN_STORE
RTL-KRG,S-KRG-0007,KRG-302343,2025-01-02,1,7.02,0.0,7.02,7.02,7.02,IN_STORE
RTL-KRG,S-KRG-0006,KRG-655748,2025-01-02,2,5.42,0.54,4.88,2.71,2.44,IN_STORE
RTL-KRG,S-KRG-0006,KRG-655748,2025-01-03,1,2.71,0.27,2.44,2.71,2.44,IN_STORE
RTL-KRG,S-KRG-0007,KRG-655748,2025-01-02,2,5.42,0.54,4.88,2.71,2.44,RETAILER_ONLINE
RTL-KRG,S-KRG-0007,KRG-655748,2025-01-03,1,2.71,0.27,2.44,2.71,2.44,IN_STORE
RTL-KRG,S-KRG-0006,KRG-167383,2025-01-02,1,6.9,0.0,6.9,6.9,6.9,RETAILER_ONLINE
RTL-KRG,S-KRG-0007,KRG-167383,2025-01-03,2,13.8,0.0,13.8,6.9,6.9,IN_STORE
RTL-AMZ,S-AMZ-0008,AMZ-687247,2025-01-02,2,5.04,0.0,5.04,2.52,2.52,MARKETPLACE
RTL-AMZ,S-AMZ-0008,AMZ-687247,2025-01-03,3,7.56,0.0,7.56,2.52,2.52,MARKETPLACE
